system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Veena,-11.30142,2.76771,0.105726872245475,0.10958149779687816,0.0038546255514031597,0.9620732378854624,0.9503258076358296,-0.011747430249632762,-0.022898311306901453,-0.024891774891774965,False,False
griffin_lim,-10.82422,2.8566,0.4,0.40543318649089083,0.005433186490890807,0.6585168869309839,0.6326725403817915,-0.02584434654919232,0.016886930983847193,-0.28927410617551463,False,False
Voxtream,-10.93791,2.77738,0.3270925110123337,0.332966226139117,0.005873715126783308,0.7098017621145374,0.7046010768477728,-0.005200685266764538,0.009605971610377018,-0.03455723542116618,False,False
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.0625,0.07002569750353653,0.00752569750353653,0.973430616740088,0.9866235315712188,0.01319291483113083,0.011472099853157225,-0.017676767676767846,False,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.2588105726876952,0.007709251103020898,0.8059314033983637,0.8258338577721838,0.0199024543738201,-0.0006293266205159576,0.09110629067245124,False,False
kokoro,-11.13242,2.85862,0.1321585903070981,0.1473452353353334,0.015186645028235302,0.9556573150939022,0.9394659556379937,-0.01619135945590844,-0.030817682973954486,0.10787486515641853,False,False
f5-tts,-10.75229,2.70689,0.3898678414094841,0.4079208776019622,0.01805303619247811,0.6410987302409951,0.6509674354323227,0.009868705191327654,0.04187181480521729,-0.1066666666666668,False,False
ZipVoice,-10.86822,2.80332,0.3469162995605787,0.368575624082587,0.021659324522008305,0.6422540381791483,0.6488925599608418,0.0066385217816935516,0.001346059716103798,0.11086956521739144,False,False
Kani-TTS-370M,-11.07769,2.78509,0.2202643171806545,0.242424242424248,0.022159925243593503,0.8433119743692431,0.7847750634094247,-0.05853691095981839,-0.015051395007342205,-0.02974247370330063,False,False
optispeech,-11.08127,2.75023,0.0737885462561879,0.0979651772600914,0.024176631003903493,0.9431246066708622,0.9678781204111601,0.024753513740297883,-0.0017044262638977736,-0.049530007230658035,False,False
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.2263716459755035,0.024829795754484296,0.841309571485783,0.8465491923641704,0.005239620878387363,0.0015685489253771667,-0.026478055857816485,False,False
Metavoice-1B,-11.26542,2.78059,0.2857142857140903,0.3192783721423728,0.033564086428282514,0.776431718061674,0.751887979861548,-0.02454373820012601,-0.04069645479337114,-0.033984092552422296,False,False
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.31678527053002226,0.03374562295360034,0.800152490681125,0.760872020783915,-0.03928046989721001,-0.041144244888738135,-0.1060441549040897,False,False
Higgs-Audio-V2,-11.109,2.80124,0.4347826086956909,0.4798091042587887,0.04502649556309779,0.6046734342080062,0.575512353955181,-0.029161080252825267,-0.006663793653833738,0.11099176512710351,False,False
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0495594713653781,0.09612964128374597,0.046570169918367876,0.9904027690371304,0.9605884203901826,-0.029814348646947875,-0.051499895112229965,-0.03217642805495291,False,False
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.19211943220823915,0.05004894762721876,0.9449339207048458,0.8944566813509546,-0.05047723935389126,-0.06387665198237868,-0.12691466083150982,False,False
microsoft_speecht5_tts,-11.04778,2.79557,0.2500000000002551,0.30017131669113123,0.050171316690876155,0.7678964757709251,0.7783590308370044,0.010462555066079293,-0.009483602545276582,-0.07282608695652171,False,False
parler_tts_large_v1,-10.88228,2.72001,0.1046255506613693,0.15712187958889715,0.05249632892752784,0.953508495909377,0.9208883994126285,-0.032620096496748574,-0.07108768617579186,-0.024584237165582112,False,False
parler_tts_mini_v0.1,-10.93578,2.702,0.1057268722460944,0.16271486568185822,0.05698799343576383,0.9282845296708992,0.9066899887708386,-0.021594540900060633,-0.06332599118942728,-0.12432432432432439,False,False
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.14757709251173592,0.06607929515344482,0.9693989930774072,0.9359660163624922,-0.033432976714914964,-0.06767883364799676,-0.08712942877801888,False,False
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0881057268712717,0.15712187958819038,0.06901615271691867,0.9727116984826236,0.9399167890357317,-0.032794909446891896,-0.051272638277043536,-0.04715622750179982,False,False
Nari Dia2,-11.16706,2.70401,0.2819383259912535,0.35792951541846496,0.07599118942721145,0.7294753704445334,0.6896942998264585,-0.0397810706180749,-0.025547323454812365,0.06782734856728334,False,False
FishTTS,-11.17461,2.7008,0.2666666666666666,0.3446402349485193,0.0779735682818527,0.8086637298091043,0.749681840430739,-0.05898188937836524,-0.05307146353401859,-0.018418201516793187,False,False
Chatterbox,-11.13056,2.82544,0.285714285714382,0.3640130060836395,0.0782987203692575,0.7168030207677785,0.7445196140130061,0.027716593245227683,-0.025146842878120412,-0.21113521330441065,False,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.18068348685067429,0.08977439594158348,0.9535442531037244,0.9268789213723134,-0.026665331731410946,-0.046355626752102363,-0.06202393906420023,False,False
MatchaTTS,-11.11983,2.76045,0.1000000000000026,0.19162995594672197,0.09162995594671937,0.9284140969162996,0.8754772393538913,-0.05293685756240829,-0.05267988252569744,-0.10421205519244747,False,False
vixTTS,-11.27667,2.78681,0.2257709251091819,0.33470998531575463,0.10893906020657274,0.8531112334801761,0.7409599853157122,-0.11215124816446398,-0.0732837738619675,-0.16414141414141414,False,False
