system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.3083700440523988,-0.022026431718525863,0.7543502202643172,0.7859581497797357,0.031607929515418465,-0.0007342143906020615,-0.001436781609195359,True,True
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.5791483113074163,-0.02085168869258336,0.3758443465491923,0.4077581987273617,0.03191385217816939,0.013607440039158147,0.5857710364752619,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.13876651982425833,-0.018722466960647666,0.9358786098874204,0.9245390765214553,-0.01133953336596516,-0.021822483276227822,-0.006906579425663306,True,False
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.36413537514849453,-0.01681700580404666,0.6815082861338368,0.708324592685826,0.02681630655198919,0.029840570589469206,-0.16899892357373525,True,True
OuteTTS,-10.98285,2.79802,0.3931718061669267,0.38119076224806064,-0.011981043918866063,0.6662995594713657,0.6509144306501135,-0.015385128821252203,-0.00697503671071964,0.14516129032258074,True,False
Kyutai-TTS,-11.10458,2.69058,0.1541850220255072,0.1441185563026205,-0.01006646572288672,0.9363552051936008,0.9423448489064071,0.005989643712806303,-0.025214467887781034,0.0010787486515640987,True,True
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.4057971014492598,-0.008299814849200116,0.6096533231181767,0.6465715380195365,0.036918214901359825,0.016192619549256215,-0.14751163623344077,True,True
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0909090909090912,0.08777199305804473,-0.0031370978510464748,0.947436924309171,0.9620544653584302,0.014617541049259164,0.021208783873982062,0.012332245194051406,True,True
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.14476260401409138,0.0026921194330709886,0.9449339207048458,0.9163607440039158,-0.02857317670093007,-0.02184287812041097,-0.04339897884755661,False,False
Metavoice-1B,-11.26542,2.78059,0.2857142857140903,0.29032934759812895,0.0046150618840386515,0.776431718061674,0.7979074889867842,0.021475770925110216,-0.009885672330606221,0.0036153289949386602,False,False
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.28571428571428004,0.004877281309334014,0.7711611076148521,0.7739406335221314,0.0027795259072792566,-0.008574575204531087,-0.13232104121475075,False,False
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.1842230284183185,0.007752440183137088,0.8826768592899714,0.8990239267513173,0.016347067461345843,-0.015785609397944045,-0.030990990990991008,False,False
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.0625,0.07323788546220039,0.010737885462200392,0.973430616740088,0.98263124082232,0.00920062408223199,0.011104992657856028,-0.018398268398268525,False,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.2619047619049437,0.01080344032026942,0.8059314033983637,0.8190423746591148,0.013110971260751114,0.02963079504929722,0.12762111352133054,False,False
Kani-TTS-370M,-11.07769,2.78509,0.2202643171806545,0.2315445200906391,0.011280202909984605,0.8433119743692431,0.8170137498331331,-0.02629822453610997,-0.0010846348952076035,-0.061298512876314826,False,False
e2-tts,-10.92617,2.76124,0.3711453744483705,0.3827092511010693,0.011563876652698812,0.7031938325991189,0.6666666666666666,-0.03652716593245231,-0.03657305433186486,-0.09199134199134196,False,False
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.24339207048498723,0.012622839715759643,0.912741443578448,0.8381057268722466,-0.0746357167062014,-0.06572630746639563,0.019905899384726755,False,False
SoulX-Podcast,-10.93597,2.76337,0.3333333333333337,0.3482623592754825,0.014929025942148788,0.6994309838472834,0.6821463534018601,-0.017284630445423277,-0.03524229074889862,-0.06956521739130439,False,False
Voxtream,-10.93791,2.77738,0.3270925110123337,0.3422254853970594,0.015132974384725661,0.7098017621145374,0.7149004731603851,0.0050987110458476925,0.008749388154674631,-0.08963282937365002,False,False
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0495594713653781,0.0667610656599443,0.017201594294566205,0.9904027690371304,0.9847650513950074,-0.0056377176421230635,-0.021239773442416565,0.004338394793926392,False,False
Veena,-11.30142,2.76771,0.105726872245475,0.12334801762108583,0.017621145375610825,0.9620732378854624,0.9541345447870779,-0.007938693098384464,-0.03524229074889862,0.011183261183261073,False,False
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.23458149779740398,0.019823788545252075,0.8414096916299559,0.8786186280679673,0.037208936438011375,-0.01004300398573521,0.026391901663051276,False,False
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.17767988252644737,0.02019089574246688,0.92903359030837,0.9002386196769456,-0.028794970631424333,-0.02794603524229078,-0.07503607503607501,False,False
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.2219663596321307,0.020424509411111513,0.841309571485783,0.8521892938192498,0.01087972233346679,-0.0009010812975570603,-0.06093579978237218,False,False
NeuTTS-Air,-11.09782,2.80331,0.25,0.2708333333332829,0.02083333333328291,0.7926762114537446,0.7905653450807636,-0.0021108663729809685,-0.020925110132158475,0.03932178932178931,False,False
minimax_speech-02-turbo,-11.02915,2.74086,0.1818181818181817,0.20521292217312034,0.02339474035493863,0.932819383259912,0.8808236550527299,-0.051995728207182124,-0.011079962621812878,-0.11062749365252089,False,False
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.30769230769219563,0.024652660115773717,0.800152490681125,0.7689483790805377,-0.031204111600587336,-0.01989438608381333,0.0604415490408976,False,False
griffin_lim,-10.82422,2.8566,0.4,0.42657856093987706,0.02657856093987704,0.6585168869309839,0.6084924131179638,-0.05002447381302011,0.0020313264806656184,-0.3615023474178404,False,False
Openaudio-S1-Mini,-10.82325,2.85961,0.3999999999999531,0.42666666666664427,0.026666666666691152,0.6790748898678415,0.6211747430249632,-0.05790014684287825,-0.026747430249632775,-0.10253662022150767,False,False
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.5066079295162965,0.028634361234778027,0.5553807426054123,0.5135567442836165,-0.04182399832179573,-0.028241032095657648,-0.03253796095444683,False,False
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.12077826725433,0.039280469896038894,0.9693989930774072,0.9443308160268512,-0.025068177050555973,-0.04108978393119378,-0.05784526391901679,False,False
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0881057268712717,0.12995594713671152,0.041850220265439816,0.9727116984826236,0.9436490455212923,-0.02906265296133137,-0.034875183553597755,-0.06839452843772498,False,False
kokoro,-11.13242,2.85862,0.1321585903070981,0.17543859649130625,0.04328000618420816,0.9556573150939022,0.8918386274055182,-0.06381868768838395,-0.07266790323827199,0.02588996763754059,False,False
Llasa-8B,-11.13795,2.7481,0.2621145374438587,0.3101647903406213,0.04805025289676257,0.7773494860499266,0.790687714145864,0.013338228095937432,-0.004425681187795627,0.1159107271418286,False,False
FishTTS,-11.17461,2.7008,0.2666666666666666,0.31576113558539737,0.04909446891873076,0.8086637298091043,0.750758688203622,-0.057905041605482266,-0.04473813020068529,0.0624774286746117,False,False
parler_tts_mini_v0.1,-10.93578,2.702,0.1057268722460944,0.15537272177591302,0.049645849529818625,0.9282845296708992,0.8801287034637643,-0.04815582620713499,-0.0531225706141486,-0.08540540540540542,False,False
parler_tts_large_v1,-10.88228,2.72001,0.1046255506613693,0.16032095657695383,0.05569540591558453,0.953508495909377,0.9087476400251729,-0.04476085588420409,-0.07273966855464653,-0.02783803326102685,False,False
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.286210118808711,0.0571352289409921,0.8932719263115739,0.8196836203444132,-0.0735883059671607,-0.08169803764517414,-0.10228509249183892,False,False
vixTTS,-11.27667,2.78681,0.2257709251091819,0.2844162995596221,0.05864537445044021,0.8531112334801761,0.7754680616740087,-0.07764317180616742,-0.05203744493392071,-0.14249639249639245,False,False
f5-tts,-10.75229,2.70689,0.3898678414094841,0.44961993607964884,0.059752094670164735,0.6410987302409951,0.5760559730500129,-0.06504275719098218,-0.02605381359592296,-0.14558558558558554,False,False
microsoft_speecht5_tts,-11.04778,2.79557,0.2500000000002551,0.3126529613318529,0.06265296133159781,0.7678964757709251,0.7447075379344102,-0.023188937836514878,-0.03487518355359753,-0.15000000000000002,False,False
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.1662179800945138,0.0637950726072051,0.9626162506118452,0.9179719366944036,-0.044644313917441614,-0.03852586066242458,-0.03995680345572339,False,False
Higgs-Audio-V2,-11.109,2.80124,0.4347826086956909,0.5145885207182067,0.0798059120225158,0.6046734342080062,0.5205739641192619,-0.0840994700887443,-0.03758858456234426,0.06444683136412455,False,False
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.2927475934083663,0.08680045684480903,0.8947626040137053,0.8160385054658182,-0.07872409854788709,-0.04780551476586725,0.08687749909123954,False,False
ZipVoice,-10.86822,2.80332,0.3469162995605787,0.44444444444444436,0.09752814488386569,0.6422540381791483,0.6097038668624571,-0.032550171316691134,-0.027104747919725836,-0.1887681159420289,False,False
Chatterbox,-11.13056,2.82544,0.285714285714382,0.38782252989325056,0.10210824417886855,0.7168030207677785,0.6754772393538913,-0.04132578141388721,-0.06752150199286755,-0.1099060014461315,False,False
optispeech,-11.08127,2.75023,0.0737885462561879,0.18329137822480898,0.10950283196862108,0.9431246066708622,0.9207048458149779,-0.022419760855884263,-0.07069435703796945,-0.16232827187274046,False,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.20307702576422595,0.11216793485513515,0.9535442531037244,0.9044853824589508,-0.049058870644773545,-0.08363369376585228,-0.07653246282190784,False,False
Nari Dia2,-11.16706,2.70401,0.2819383259912535,0.3946068615672423,0.11266853557598877,0.7294753704445334,0.6668669069550127,-0.06260846348952065,-0.04492057135228944,0.05912223431265873,False,False
MatchaTTS,-11.11983,2.76045,0.1000000000000026,0.2176945668135318,0.1176945668135292,0.9284140969162996,0.8790014684287812,-0.04941262848751837,-0.044897209985315656,-0.18663761801016698,False,False
