system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
optispeech,-11.08127,2.75023,0.18329137822480898,0.0737885462561879,0.9207048458149779,0.9431246066708622,0.8566970841199916,0.927391441157961,0.7639190166305133,0.9262472885032538
MatchaTTS,-11.11983,2.76045,0.2176945668135318,0.1000000000000026,0.8790014684287812,0.9284140969162996,0.8577459618208517,0.9026431718061674,0.7185911401597677,0.9052287581699346
RVC,-11.10697,2.72935,0.2485315712183576,0.2857142857142856,0.8167348437172226,0.7556639395846445,0.788546255506608,0.7376494650723726,0.7451193058568331,0.7603036876355749
Step-Audio-EditX,-11.19811,2.72185,0.2219663596321307,0.2015418502210192,0.8521892938192498,0.841309571485783,0.8074189026832199,0.808319983980777,0.7377584330794341,0.7986942328618063
Kyutai-TTS,-11.10458,2.69058,0.1441185563026205,0.1541850220255072,0.9423448489064071,0.9363552051936008,0.88943310920473,0.914647577092511,0.8338727076591154,0.8327939590075513
parler_tts_large_v1,-10.88228,2.72001,0.16032095657695383,0.1046255506613693,0.9087476400251729,0.953508495909377,0.8721942521501993,0.9449339207048458,0.863702096890817,0.8915401301518439
kokoro,-11.13242,2.85862,0.17543859649130625,0.1321585903070981,0.8918386274055182,0.9556573150939022,0.843080995440142,0.915748898678414,0.8608414239482202,0.8349514563106796
facebook_mms-tts-eng,-11.25166,2.6995,0.1662179800945138,0.1024229074873087,0.9179719366944036,0.9626162506118452,0.8824849078153042,0.9210107684777288,0.8585313174946005,0.8984881209503239
Llasa-1B-Multilingual,-11.06328,2.67872,0.17767988252644737,0.1574889867839805,0.9002386196769456,0.92903359030837,0.8549008810572687,0.8828469162995595,0.7550505050505051,0.8300865800865801
parler_tts_mini_v0.1,-10.93578,2.702,0.15537272177591302,0.1057268722460944,0.8801287034637643,0.9282845296708992,0.866027468256025,0.9191500388701735,0.8691891891891892,0.9545945945945946
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.12995594713671152,0.0881057268712717,0.9436490455212923,0.9727116984826236,0.8932941752325011,0.9281693587860989,0.8441324694024478,0.9125269978401728
DeepGram,-11.17381,2.62221,0.13876651982425833,0.157488986784906,0.9245390765214553,0.9358786098874204,0.8922744330233318,0.9140969162995596,0.8229734641948383,0.8298800436205016
Veena,-11.30142,2.76771,0.12334801762108583,0.105726872245475,0.9541345447870779,0.9620732378854624,0.9102422907488986,0.9454845814977972,0.904040404040404,0.8928571428571429
Marvis-TTS,-11.07228,2.7861,0.11659324522747803,0.2000000000003107,0.9458883994126285,0.9240088105726872,0.9401615271659325,0.873568281938326,0.8809784592917124,0.9463307776560788
parler_tts_mini_v1,-11.02714,2.73203,0.14476260401409138,0.1420704845810204,0.9163607440039158,0.9449339207048458,0.90712187958884,0.928964757709251,0.8154631655725747,0.8588621444201313
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.08777199305804473,0.0909090909090912,0.9620544653584302,0.947436924309171,0.940511947670538,0.919303163796556,0.9416031918752266,0.9292709466811752
Indri-TTS-0.1,-11.05397,2.73531,0.12077826725433,0.0814977973582911,0.9443308160268512,0.9693989930774072,0.9143066918397315,0.9553964757709252,0.8543022415039768,0.9121475054229936
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0667610656599443,0.0495594713653781,0.9847650513950074,0.9904027690371304,0.953980490874764,0.9752202643171806,0.955531453362256,0.9511930585683296
Supertonic,-11.13805,2.78536,0.0945301027901649,0.125,0.9482837738619677,0.969920154185022,0.9213931718061673,0.9204295154185024,0.9058441558441559,0.9642857142857144
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.07323788546220039,0.0625,0.98263124082232,0.973430616740088,0.9567272393538913,0.9456222466960352,0.935064935064935,0.9534632034632036
