system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.5648861967692181,-0.060113803230781526,0.3053414096916299,0.39764592511013214,0.09230451541850226,0.015647944199706276,0.29220779220779225,True,True
minimax_speech-02-turbo,-11.02915,2.74086,0.1818181818181817,0.12444933920734334,-0.05736884261083837,0.932819383259912,0.9534775063409424,0.020658123081030433,0.048675076758777136,-0.02212549873050418,True,True
SoulX-Podcast,-10.93597,2.76337,0.3333333333333337,0.2854870288791193,-0.047846304454214394,0.6994309838472834,0.7212126774351444,0.021781693587860973,-0.00721977484092029,-0.04130434782608694,True,True
Kyutai-TTS,-11.10458,2.69058,0.1541850220255072,0.1141703377384156,-0.04001468428709161,0.9363552051936008,0.9579952082850297,0.021640003091428883,0.0031590540227219854,0.023013304566702586,True,True
Openaudio-S1-Mini,-10.82325,2.85961,0.3999999999999531,0.3658002936858813,-0.03419970631407182,0.6790748898678415,0.6913362701908957,0.012261380323054238,0.033590308370044064,0.06538049303322613,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.12730461739269194,-0.030184369392214055,0.9358786098874204,0.9577826725403819,0.02190406265296141,-0.005465818241148779,0.061795710650672575,True,True
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.20521292217337214,-0.025556308595855448,0.912741443578448,0.888851236868858,-0.023890206709589967,-0.02849316615836439,0.0684039087947883,True,False
Microsoft VibeVoice Large,-11.20791,2.80826,0.2352941176470588,0.21227433704681173,-0.023019780600247064,0.8701736201088366,0.8920488900405977,0.021875269931761143,0.015483285825343418,0.10594594594594597,True,True
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.39130434782609874,-0.022792568472361163,0.6096533231181767,0.6806327012705101,0.07097937815233346,0.046885973312903007,0.05012531328320813,True,True
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0909090909090912,0.0683153117075165,-0.02259377920157471,0.947436924309171,0.9773394740355092,0.029902549726338212,0.042501001201441735,0.054406964091403776,True,True
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.13527900146886596,-0.022209985315114533,0.92903359030837,0.9403680249632892,0.011334434654919234,0.0004588839941261913,0.04112554112554112,True,True
NeuTTS-Air,-11.09782,2.80331,0.25,0.22916666666661667,-0.02083333333338333,0.7926762114537446,0.8364996328928047,0.04382342143906015,0.04162077826725408,0.142135642135642,True,True
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.15686274509803916,-0.019607843137142256,0.8826768592899714,0.9273991534939966,0.04472229420402518,0.03384944286084479,0.04756756756756764,True,True
Veena,-11.30142,2.76771,0.105726872245475,0.09040014684297316,-0.015326725402501837,0.9620732378854624,0.9653772026431717,0.0033039647577093323,-0.01656571218795888,0.02777777777777768,True,True
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.0625,0.04827459618265587,-0.014225403817344127,0.973430616740088,0.9905240455212923,0.017093428781204234,0.02142988252569744,0.022005772005771917,True,True
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.3674743024969315,-0.013478078455609666,0.6815082861338368,0.6962624991259352,0.014754212992098337,0.032550171316691134,-0.14854682454251888,True,True
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.19411812693751399,-0.011829009626043302,0.8947626040137053,0.8629058573992495,-0.03185674661445581,-0.00801517376407257,0.09305707015630693,True,False
f5-tts,-10.75229,2.70689,0.3898678414094841,0.3790273818780443,-0.010840459531439806,0.6410987302409951,0.6472099853157122,0.0061112550747171035,0.026453312602573997,-0.13693693693693698,True,True
