system,eer,auc,acc,bal_acc,n_spoof
Llasa-1B-Multilingual,0.1288546255512963,0.9416299559471365,0.8268398268398268,0.8811949339207048,16
minimax_speech-02-turbo,0.1233480176216286,0.9504405286343613,0.8770402611534276,0.8928714457348819,11
Indri-TTS-0.1,0.11784140969130533,0.9547671491504091,0.8828633405639913,0.9053650094398993,14
Maya1 TTS,0.11764705882352941,0.9640450894013992,0.9513513513513514,0.917498056491319,17
Ringg Squirrel TTS v1.0,0.11111111111108185,0.9697136563876653,0.9395248380129589,0.9147087616250611,18
DeepGram,0.11111111111077852,0.9598629466470876,0.8462377317339149,0.9223568281938326,9
OpenVoiceV2,0.10903083700335733,0.9550660792951542,0.8699891657638137,0.9339207048458149,15
MatchaTTS,0.10132158590408273,0.9501101321585903,0.8278867102396514,0.9129955947136563,10
orpheus-tts-0.1-finetune,0.09090909090909101,0.960552663195835,0.9804134929270947,0.9451842210652783,11
Kitten-TTS-Nano-0.1,0.07142857142857137,0.9856828193832599,0.9707158351409978,0.9499685336689743,14
optispeech,0.07142857142857136,0.9790748898678414,0.9501084598698482,0.939505978602895,14
Supertonic,0.06828193832655141,0.9575302863436124,0.9318181818181818,0.9346090308370044,16
facebook_mms-tts-eng,0.06497797356986189,0.9724057758198728,0.9071274298056156,0.9526431718061674,18
Veena,0.06250000000000001,0.9721916299559472,0.9545454545454546,0.9461729074889869,16
Marvis-TTS,0.02422907489104406,0.988546255506608,0.9759036144578314,0.9878854625550662,5
Kitten-TTS-Nano-0.2,0.01982378854778999,0.9972466960352423,0.9805194805194806,0.9900881057268722,16
