system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Openaudio-S1-Mini,-10.82325,2.85961,0.3658002936858813,0.3999999999999531,0.6913362701908957,0.6790748898678415,0.6854625550660792,0.6518722466960352,0.7663451232583065,0.7009646302250804
Chatterbox,-11.13056,2.82544,0.3459198657432289,0.285714285714382,0.7292322215229704,0.7168030207677785,0.704242710299979,0.7244336060415355,0.6945046999276935,0.7342733188720173
suno_bark,-10.55239,2.80122,0.26190476190469725,0.2511013215846743,0.8283511642542479,0.8059314033983637,0.7921386616320537,0.7673064820641913,0.8445408532176427,0.7494577006507592
Qwen2.5-Omni,-11.10027,2.65093,0.28340675477208205,0.280837004404946,0.8076620516047829,0.7711611076148521,0.7932662051604783,0.7686438011327879,0.8698481561822126,0.9598698481561824
VoxCPM-0.5B,-10.66426,2.74095,0.39130434782609874,0.4140969162984599,0.6806327012705101,0.6096533231181767,0.671478963161591,0.6245929898486879,0.8138202649480846,0.7636949516648764
Mars5,-11.32011,2.84054,0.3458149779735675,0.4374999999999708,0.7179928414096916,0.5824614537444934,0.7157672540381791,0.6172907488986784,0.6424963924963925,0.2478354978354978
Voxtream,-10.93791,2.77738,0.33333333333333354,0.3270925110123337,0.720427475934084,0.7098017621145374,0.7128813835862294,0.6975648556045031,0.6861051115910727,0.673866090712743
SoulX-Podcast,-10.93597,2.76337,0.2854870288791193,0.3333333333333337,0.7212126774351444,0.6994309838472834,0.7451664219285364,0.7523861967694567,0.7945652173913044,0.8358695652173913
microsoft_speecht5_tts,-11.04778,2.79557,0.30420949583916207,0.2500000000002551,0.7799498286833089,0.7678964757709251,0.7694566813509546,0.7615638766519823,0.7072463768115943,0.7728260869565218
e2-tts,-10.92617,2.76124,0.29937591776830147,0.3711453744483705,0.715239537444934,0.7031938325991189,0.7122797356828193,0.6925936123348018,0.716089466089466,0.5768398268398268
vixTTS,-11.27667,2.78681,0.30167033773900714,0.2257709251091819,0.7668869309838473,0.8531112334801761,0.746787812041116,0.8235132158590308,0.623015873015873,0.7738095238095238
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3076923076921783,0.3846153846153616,0.7360499265785609,0.646645205015249,0.7234412063707217,0.6546933242968485,0.8284473398479912,0.7676438653637351
Metavoice-1B,-11.26542,2.78059,0.3017621145371523,0.2857142857140903,0.7905915670232851,0.776431718061674,0.7852422907488986,0.7857929515418502,0.577006507592191,0.5780911062906724
Index-TTS-2.0,-11.02141,2.74238,0.3456422216458627,0.428414096917327,0.6807679018744062,0.6142135268204197,0.6732853934525352,0.6455688002073076,0.5852252252252251,0.5308108108108108
MegaTTS3,-10.87811,2.81748,0.26190476190476647,0.3571428571428213,0.8126442206838682,0.7709251101321586,0.7583385777218377,0.736784140969163,0.7548806941431669,0.4815618221258134
sesame_csm,-10.80728,2.79118,0.3099231898785158,0.2830396475764219,0.7604484355585677,0.800152490681125,0.7326330057607592,0.7699932226363944,0.6970684039087948,0.6959826275787188
Kani-TTS-370M,-11.07769,2.78509,0.2727272727272783,0.2202643171806545,0.7983914030169537,0.8433119743692431,0.7721098651715392,0.8036143372046456,0.9046064562930721,0.8781284004352558
suno_bark-small,-10.97017,2.74983,0.20447870778337332,0.2147577092521519,0.8793790644010908,0.8414096916299559,0.8187277113488567,0.8381843926998112,0.873825018076645,0.7505422993492408
Llasa-8B,-11.13795,2.7481,0.2732909120573377,0.2621145374438587,0.8169562734540708,0.7773494860499266,0.7596467612987436,0.7578316201664219,0.8668106551475883,0.7386609071274298
