system,group,observed_eer,pred_eer_lr,pred_eer_lasso,pred_eer_rf,pred_eer_ensemble,residual,phoneme_var_mean,phoneme_var_median,frame_mean_dist_mean,frame_var_dist_mean,per_utt_cosine_mean,cosine_centroid,mean_entropy_mean,var_entropy_mean,mean_gini_mean
MegaTTS3,mid,0.20489,0.27364,0.27145,0.29313,0.27941,-0.07452,0.42300,0.42513,15.56281,68.09851,0.11639,0.04160,1.78752,0.17668,0.40531
parler_tts_large_v1,mid,0.13792,0.20086,0.21416,0.19104,0.20202,-0.06410,0.43586,0.43122,19.30925,42.28203,0.09634,0.03724,1.79697,0.16339,0.42539
minimax_speech-2.6-hd,mid,0.19319,0.23591,0.24096,0.28436,0.25374,-0.06055,0.40964,0.44112,16.40182,51.38889,0.09683,0.03893,1.73491,0.18708,0.42726
DeepGram,easy,0.13194,0.20250,0.21347,0.15536,0.19044,-0.05850,0.45162,0.46477,16.74966,45.10590,0.08932,0.02778,1.72943,0.19166,0.44501
Ringg Squirrel TTS v1.0,easy,0.12555,0.18376,0.19880,0.15876,0.18044,-0.05489,0.45405,0.45620,18.32384,52.87585,0.09709,0.03387,1.76793,0.16690,0.43805
sesame_csm,mid,0.27118,0.35100,0.33956,0.28617,0.32558,-0.05440,0.34541,0.36177,15.74004,31.58851,0.13601,0.03824,1.74660,0.18284,0.42679
Cartesia.ai (Sonic-3),mid,0.15939,0.22752,0.22780,0.16977,0.20837,-0.04897,0.46710,0.45525,16.38426,54.80369,0.09024,0.03025,1.71415,0.20350,0.44477
optispeech,mid,0.14244,0.21732,0.22361,0.12879,0.18991,-0.04746,0.44708,0.43950,17.78467,46.63914,0.10811,0.07192,1.66975,0.18779,0.44068
Step-Audio-EditX,mid,0.25482,0.28224,0.27657,0.34724,0.30202,-0.04720,0.41846,0.40375,16.66132,57.25075,0.09624,0.04976,1.69816,0.19469,0.45748
Supertonic,easy,0.12830,0.16457,0.18081,0.16529,0.17022,-0.04192,0.48399,0.48872,17.20850,56.05356,0.07044,0.02855,1.69309,0.19605,0.46034
vixTTS,mid,0.28641,0.30141,0.29746,0.38228,0.32705,-0.04064,0.38165,0.38206,16.84647,33.86161,0.09602,0.05072,1.79546,0.17093,0.39958
