system,eer_before,eer_after,delta_eer,auc_before,auc_after,delta_auc,acc_before,acc_after,bal_acc_before,bal_acc_after
"Resemble.ai (April 12th, 2025)",0.2777777777775597,0.2777777777777633,-2.036149027162537e-13,0.8188325991189427,0.8450195790504161,0.026186979931473453,0.896328293736501,0.6652267818574514,0.7565467449828683,0.7748409202153695
FishTTS,0.26666666666666666,0.2666666666662823,3.843592111252292e-13,0.8086637298091043,0.8133627019089574,0.004698972099853149,0.866738894907909,0.9284940411700975,0.7683553597650514,0.7669603524229075
OpenVoiceV2,0.26211453744494495,0.26666666666698086,-0.0045521292220359055,0.7904552129221734,0.7499265785609397,-0.04052863436123366,0.7388949079089924,0.7410617551462622,0.768942731277533,0.7372613803230543
Llasa-8B,0.26211453744385876,0.23237885462595717,0.029735682817901593,0.7773494860499266,0.8166911404796867,0.03934165442976012,0.7386609071274298,0.7678185745140389,0.7578316201664219,0.7726994615761136
suno_bark,0.25110132158467435,0.2400881057273428,0.01101321585733156,0.8059314033983637,0.8322057898049088,0.026274386406545114,0.7494577006507592,0.7321041214750542,0.7673064820641913,0.7936595342983008
microsoft_speecht5_tts,0.25000000000025513,0.25,2.5512925105886097e-13,0.7678964757709251,0.7942364170337739,0.026339941262848776,0.7728260869565218,0.7717391304347826,0.7615638766519823,0.7610132158590308
minimax_speech-2.6-hd,0.25000000000014666,0.2500000000002403,-9.364731212713195e-14,0.8198421439060205,0.8129588839941264,-0.006883259911894091,0.967391304347826,0.9706521739130435,0.8190161527165932,0.8206681350954479
NeuTTS-Air,0.25,0.194933920704925,0.05506607929507501,0.7926762114537446,0.8114675110132159,0.01879129955947134,0.7435064935064936,0.8051948051948052,0.7773953744493391,0.808783039647577
Microsoft VibeVoice Large,0.23529411764705888,0.17647058823578904,0.05882352941126984,0.8701736201088366,0.8944026949987044,0.024229074889867808,0.7167567567567568,0.7427027027027027,0.8268657683337652,0.8689427312775331
MeloTTS,0.2307692307692276,0.21585903083632962,0.014910199932897966,0.912741443578448,0.9148593697051847,0.002117926126736669,0.7318132464712269,0.9185667752442996,0.8639867841409692,0.8449678075228737
Nari Dia-1.6B,0.2290748898677189,0.1818181818181817,0.04725670804953719,0.8932719263115739,0.8992791349619543,0.006007208650380402,0.766050054406964,0.8161044613710555,0.8367040448538245,0.8620344413295955
vixTTS,0.22577092510918198,0.25,-0.02422907489081802,0.8531112334801761,0.8251651982378854,-0.02794603524229078,0.7738095238095238,0.7359307359307359,0.8235132158590308,0.8042400881057269
Kani-TTS-370M,0.22026431718065453,0.23348017621063785,-0.013215859029983318,0.8433119743692431,0.8499199038846617,0.0066079295154185536,0.8781284004352558,0.8618063112078346,0.8036143372046456,0.7953544253103725
suno_bark-small,0.2147577092521519,0.18722466960342543,0.02753303964872647,0.8414096916299559,0.8639867841409692,0.022577092511013253,0.7505422993492408,0.8134490238611713,0.8381843926998112,0.8349590937696665
Edge-TTS,0.2059471365635573,0.2092511013214186,-0.003303964757861322,0.8947626040137053,0.9110376896720509,0.016275085658345567,0.7197382769901853,0.7317339149400218,0.8584801762114538,0.8645374449339207
Step-Audio-EditX,0.2015418502210192,0.18181818181818518,0.019723668402834016,0.841309571485783,0.8482178614337205,0.006908289947937463,0.7986942328618063,0.8335146898803046,0.808319983980777,0.8259411293552263
Marvis-TTS,0.20000000000031073,0.20000000000031073,0.0,0.9240088105726872,0.9125550660792952,-0.011453744493392093,0.9463307776560789,0.9627601314348302,0.873568281938326,0.8818281938325991
minimax_speech-02-turbo,0.18181818181818174,0.14537444933797894,0.0364437324802028,0.9328193832599119,0.947837404885863,0.015018021625951117,0.8879216539717084,0.7845484221980413,0.8534741690028034,0.8909691629955947
Maya1 TTS,0.1764705882351814,0.1453744493405703,0.031096138894611103,0.8826768592899714,0.9194739569836745,0.036797097693703096,0.9016216216216216,0.92,0.8633065561026172,0.8726677895827935
DeepGram,0.15748898678490608,0.1343612334802479,0.02312775330465819,0.9358786098874204,0.9434654919236417,0.007586882036221265,0.8298800436205016,0.8505997818974919,0.9140969162995595,0.9245594713656388
Llasa-1B-Multilingual,0.1574889867839805,0.12500000000000003,0.03248898678398046,0.9290335903083701,0.9448650881057269,0.01583149779735682,0.8300865800865801,0.8744588744588745,0.8828469162995595,0.9054240088105727
Kyutai-TTS,0.15418502202550724,0.14867841409638455,0.005506607929122692,0.9363552051936007,0.9411662415951774,0.004811036401576652,0.8327939590075513,0.8209277238403452,0.914647577092511,0.9085903083700441
parler_tts_mini_v1,0.1420704845810204,0.16666666666666669,-0.02459618208564629,0.9449339207048458,0.9102422907488987,-0.0346916299559471,0.8588621444201313,0.7921225382932167,0.928964757709251,0.8953744493392071
kokoro,0.13215859030709817,0.08259911894242059,0.04955947136467759,0.9556573150939022,0.970090424298632,0.014433109204729844,0.8349514563106796,0.918015102481122,0.9157488986784141,0.93238465105495
Supertonic,0.12500000000000003,0.09691629955874458,0.028083700441255452,0.969920154185022,0.9767345814977973,0.006814427312775373,0.9642857142857143,0.8571428571428571,0.9204295154185023,0.9273127753303965
parler_tts_mini_v0.1,0.10572687224609442,0.11764705882354426,-0.011920186577449837,0.9282845296708991,0.9288675822752009,0.0005830526043018036,0.9545945945945946,0.8691891891891892,0.9191500388701737,0.9045089401399327
Veena,0.105726872245475,0.10682819383189157,-0.0011013215864165704,0.9620732378854625,0.9541574889867841,-0.00791574889867841,0.8928571428571429,0.8679653679653679,0.9454845814977973,0.9328193832599119
parler_tts_large_v1,0.10462555066136939,0.14285714285704518,-0.03823159219567579,0.953508495909377,0.9373033354310888,-0.01620516047828824,0.8915401301518439,0.8318872017353579,0.9449339207048458,0.914647577092511
facebook_mms-tts-eng,0.1024229074873087,0.11111111111108185,-0.00868820362377315,0.9626162506118452,0.9634116495349975,0.0007953989231522796,0.8984881209503239,0.9330453563714903,0.9210107684777289,0.911404796867352
MatchaTTS,0.10000000000000266,0.09999999999999999,2.6645352591003757e-15,0.9284140969162995,0.9316079295154185,0.003193832599118984,0.9052287581699346,0.9215686274509803,0.9026431718061674,0.9109030837004406
orpheus-tts-0.1-finetune,0.09090909090909126,0.09090909090911768,-2.6423307986078726e-14,0.947436924309171,0.94573488185823,-0.001702042450941077,0.9292709466811752,0.941240478781284,0.9193031637965559,0.9253604325190228
Cartesia.ai (Sonic-3),0.09090909090909088,0.09090909090909065,2.3592239273284576e-16,0.9535442531037245,0.9629555466559871,0.009411293552262667,0.9314472252448314,0.9368879216539717,0.9204044853824589,0.9231577893472167
Ringg Squirrel TTS v1.0,0.08810572687127173,0.08039647577158693,0.007709251099684802,0.9727116984826236,0.9644517865883504,-0.00825991189427322,0.9125269978401728,0.9200863930885529,0.9281693587860989,0.9320239843367597
Indri-TTS-0.1,0.0814977973582911,0.07819383259941115,0.0033039647588799514,0.9693989930774072,0.9602737570799244,-0.009125235997482828,0.9121475054229935,0.8579175704989154,0.9553964757709251,0.927863436123348
optispeech,0.07378854625618797,0.07819383259947968,-0.004405286343291709,0.9431246066708622,0.9703429830081812,0.02721837633731905,0.9262472885032538,0.9219088937093276,0.927391441157961,0.9251887979861548
Kitten-TTS-Nano-0.2,0.06250000000000003,0.06249999999999996,6.938893903907228e-17,0.9734306167400881,0.9774229074889866,0.003992290748898508,0.9534632034632035,0.9621212121212122,0.9456222466960352,0.9500275330396476
Kitten-TTS-Nano-0.1,0.04955947136537816,0.0572687224666772,-0.007709251101299039,0.9904027690371303,0.9891441157960982,-0.0012586532410321372,0.9511930585683297,0.9436008676789588,0.9752202643171806,0.9713656387665198
