system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Mars5,-11.32011,2.84054,0.4374999999999708,0.41024229074804247,-0.02725770925192833,0.5824614537444934,0.6435618575624081,0.061100403817914706,0.044465859030836996,0.18795093795093798,True,True
Veena,-11.30142,2.76771,0.105726872245475,0.07957048458193616,-0.026156387663538838,0.9620732378854624,0.9712279735682818,0.009154735682819437,-0.001651982378854444,-0.0032467532467532756,True,True
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.22760646108683313,-0.02239353891331347,0.8198421439060205,0.8424192364170336,0.02257709251101314,0.001346059716103798,-0.0514492753623188,True,True
NeuTTS-Air,-11.09782,2.80331,0.25,0.2284324522761013,-0.02156754772389871,0.7926762114537446,0.8249587004405287,0.0322824889867841,0.033590308370044064,0.06601731601731586,True,True
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.08113069016151633,-0.021292217325792367,0.9626162506118452,0.9679800946320771,0.005363844020231934,0.01851851851851838,0.0007199424046074876,True,True
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.0625,0.04185022026406247,-0.020649779735937533,0.973430616740088,0.991166483113069,0.01773586637298097,0.033452643171806185,0.0054112554112552,True,True
Kyutai-TTS,-11.10458,2.69058,0.1541850220255072,0.13449648349970952,-0.01968853852579769,0.9363552051936008,0.9378429554061363,0.0014877502125354436,-0.022828271118324528,0.005753326141675674,True,True
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.26174743024952657,-0.019089574155419453,0.7711611076148521,0.8203010279001468,0.04913992028529468,0.017437591776798933,-0.12725958062183673,True,True
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.18710230053838176,-0.018844836025175532,0.8947626040137053,0.8759585576766193,-0.01880404633708599,-0.02414749551313433,0.09741912031988376,True,False
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.3684182924275387,-0.012534088525002485,0.6815082861338368,0.7094433955667436,0.02793510943290678,0.028686805118523062,-0.21672048797990662,True,True
Voxtream,-10.93791,2.77738,0.3270925110123337,0.31567139827076396,-0.011421112741569761,0.7098017621145374,0.7141254690814162,0.004323706966878782,0.01827378038831806,0.05363570914326854,True,True
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.17087760214197925,-0.0055929860932021624,0.8826768592899714,0.892826293513,0.010149434223028608,0.009177679882525824,0.018018018018018056,True,True
Kani-TTS-370M,-11.07769,2.78509,0.2202643171806545,0.21879588839956632,-0.001468428781088188,0.8433119743692431,0.802496328928047,-0.04081564544119609,-0.0014350553998130344,-0.12114617337685896,True,False
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0909090909090912,0.09090909090909993,8.729128531115293e-15,0.947436924309171,0.971499132292084,0.02406220798291292,0.01670337738619676,0.03300689154878489,False,False
SoulX-Podcast,-10.93597,2.76337,0.3333333333333337,0.3333333333333508,1.709743457922741e-14,0.6994309838472834,0.7169909446891826,0.017559960841899147,-0.043624571708272275,-0.05905797101449284,False,False
microsoft_speecht5_tts,-11.04778,2.79557,0.2500000000002551,0.25061184532573283,0.0006118453254777556,0.7678964757709251,0.7648984336759668,-0.002998042094958353,0.0020802741067059705,0.031159420289854967,False,False
f5-tts,-10.75229,2.70689,0.3898678414094841,0.392156862745094,0.0022890213356098754,0.6410987302409951,0.6627580547637557,0.021659324522760648,0.03816835104085692,-0.15171171171171183,False,False
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.231678013616026,0.0026031237483070957,0.8932719263115739,0.867440929114938,-0.025830997196635952,-0.018538913362701748,-0.03663402248821179,False,False
kokoro,-11.13242,2.85862,0.1321585903070981,0.136544555220242,0.004385964913143914,0.9556573150939022,0.9468274209753459,-0.00882989411855628,-0.014008037715433908,0.10715569938870928,False,False
Chatterbox,-11.13056,2.82544,0.285714285714382,0.2913782252992942,0.005663939584912181,0.7168030207677785,0.7411107614852108,0.024307740717432358,0.004483952171176919,0.07809110629067262,False,False
OuteTTS,-10.98285,2.79802,0.3931718061669267,0.4063876651981913,0.013215859031264598,0.6662995594713657,0.6623448137765319,-0.003954745694833783,0.009845147510345709,0.09139784946236573,False,False
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0881057268712717,0.10348343938561295,0.015377712514341252,0.9727116984826236,0.9669807472670909,-0.005730951215532687,-0.0008361886115190176,-0.01943844492440605,False,False
Llasa-8B,-11.13795,2.7481,0.2621145374438587,0.2777777777776614,0.015663240333802675,0.7773494860499266,0.7926660140316528,0.015316527981726225,0.030979768314569944,0.14974802015838728,False,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.2710824417877335,0.0199811202030592,0.8059314033983637,0.7969897209985316,-0.008941682399832063,0.004746171596392013,0.14786695589298626,False,False
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0495594713653781,0.06969792322176577,0.02013845185638767,0.9904027690371304,0.9857090413257814,-0.004693727711349016,-0.014841619467169997,-0.006146059291395445,False,False
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.16275085658320468,0.020680372002184283,0.9449339207048458,0.9107317670093001,-0.03420215369554569,-0.0501713166911405,-0.0448577680525164,False,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.11216793485474456,0.021258843945653763,0.9535442531037244,0.9407956214123615,-0.012748631691362866,-0.01872246696035218,-0.03699673558215444,False,False
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.30498136225000994,0.02194171467358802,0.800152490681125,0.7721676267931774,-0.02798486388794763,-0.02631876200158134,0.04777415852334421,False,False
