system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Metavoice-1B,-11.26542,2.78059,0.33543108873520633,0.2857142857140903,0.7015156282777428,0.776431718061674,0.7320904132578141,0.7857929515418502,0.5415762834417932,0.5780911062906724
MegaTTS3,-10.87811,2.81748,0.2619047619047618,0.3571428571428213,0.8096811411789385,0.7709251101321586,0.7754877281309,0.736784140969163,0.6963123644251628,0.4815618221258134
Voxtream,-10.93791,2.77738,0.31567139827076396,0.3270925110123337,0.7141254690814162,0.7098017621145374,0.7158386359928212,0.6975648556045031,0.7275017998560115,0.673866090712743
Llasa-8B,-11.13795,2.7481,0.2777777777776614,0.2621145374438587,0.7926660140316528,0.7773494860499266,0.7888113884809919,0.7578316201664219,0.8884089272858171,0.7386609071274298
Step-Audio-EditX,-11.19811,2.72185,0.22870778267217198,0.2015418502210192,0.8711787478307302,0.841309571485783,0.8581965024696302,0.808319983980777,0.7493652520856003,0.7986942328618063
OpenVoiceV2,-11.36205,2.6472,0.20930004894744533,0.2621145374449449,0.8702887909936369,0.7904552129221734,0.83929270680372,0.768942731277533,0.7053087757313109,0.7388949079089924
MiniCPM-o-2.6,-10.42072,2.73015,0.3007342143909987,0.3303964757709247,0.7911160058737151,0.7543502202643172,0.7354625550660794,0.7407488986784141,0.7693965517241379,0.8275862068965517
microsoft_speecht5_tts,-11.04778,2.79557,0.25061184532573283,0.2500000000002551,0.7648984336759668,0.7678964757709251,0.7636441507586883,0.7615638766519823,0.8039855072463767,0.7728260869565218
minimax_speech-2.6-hd,-11.40033,2.69219,0.22760646108683313,0.2500000000001466,0.8424192364170336,0.8198421439060205,0.820362212432697,0.8190161527165932,0.9159420289855073,0.967391304347826
NeuTTS-Air,-11.09782,2.80331,0.2284324522761013,0.25,0.8249587004405287,0.7926762114537446,0.8109856828193832,0.7773953744493391,0.8095238095238094,0.7435064935064936
Nari Dia-1.6B,-11.2362,2.78417,0.231678013616026,0.2290748898677189,0.867440929114938,0.8932719263115739,0.8181651314911228,0.8367040448538245,0.7294160319187523,0.766050054406964
suno_bark-small,-10.97017,2.74983,0.24486049926612333,0.2147577092521519,0.8502464862597021,0.8414096916299559,0.7871302706104468,0.8381843926998112,0.7885032537960953,0.7505422993492408
Kani-TTS-370M,-11.07769,2.78509,0.21879588839956632,0.2202643171806545,0.802496328928047,0.8433119743692431,0.8021792818048326,0.8036143372046456,0.7569822270583968,0.8781284004352558
Edge-TTS,-10.92675,2.75393,0.18710230053838176,0.2059471365635573,0.8759585576766193,0.8947626040137053,0.8343326806983195,0.8584801762114538,0.8171573973100691,0.7197382769901853
Qwen2.5-Omni,-11.10027,2.65093,0.26174743024952657,0.280837004404946,0.8203010279001468,0.7711611076148521,0.7860813929095868,0.7686438011327879,0.8326102675343456,0.9598698481561824
MatchaTTS,-11.11983,2.76045,0.1551395007343583,0.1000000000000026,0.8971365638766521,0.9284140969162996,0.8781938325991189,0.9026431718061674,0.8242556281771968,0.9052287581699346
MeloTTS,-11.02763,2.75371,0.19024624421103184,0.2307692307692276,0.896419292895064,0.912741443578448,0.8418897548853496,0.8639867841409692,0.7879116901918205,0.7318132464712269
minimax_speech-02-turbo,-11.02915,2.74086,0.13292617808047322,0.1818181818181817,0.9494393271926311,0.932819383259912,0.8922206647977573,0.8534741690028034,0.9053318824809575,0.8879216539717084
parler_tts_mini_v0.1,-10.93578,2.702,0.13731968558357158,0.1057268722460944,0.9060205580029369,0.9282845296708992,0.8933013734128012,0.9191500388701735,0.9416216216216217,0.9545945945945946
parler_tts_large_v1,-10.88228,2.72001,0.13535766729636267,0.1046255506613693,0.92039018250472,0.953508495909377,0.8826305852737572,0.9449339207048458,0.8611713665943602,0.8915401301518439
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.16593245227659945,0.2777777777775597,0.8894395496818405,0.8188325991189427,0.859744656550824,0.7565467449828683,0.849532037437005,0.896328293736501
parler_tts_mini_v1,-11.02714,2.73203,0.16275085658320468,0.1420704845810204,0.9107317670093001,0.9449339207048458,0.8787934410181105,0.928964757709251,0.8140043763676149,0.8588621444201313
Maya1 TTS,-10.7007,2.72062,0.17087760214197925,0.1764705882351814,0.892826293513,0.8826768592899714,0.872484235985143,0.8633065561026172,0.9196396396396397,0.9016216216216216
optispeech,-11.08127,2.75023,0.13672120830691778,0.0737885462561879,0.9402139710509755,0.9431246066708622,0.895846444304594,0.927391441157961,0.8872017353579175,0.9262472885032538
Llasa-1B-Multilingual,-11.06328,2.67872,0.127936857562151,0.1574889867839805,0.9305708516886931,0.92903359030837,0.8953744493392071,0.8828469162995595,0.8748196248196248,0.8300865800865801
Kyutai-TTS,-11.10458,2.69058,0.13449648349970952,0.1541850220255072,0.9378429554061363,0.9363552051936008,0.8918193059741865,0.914647577092511,0.8385472851492269,0.8327939590075513
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.10348343938561295,0.0881057268712717,0.9669807472670909,0.9727116984826236,0.9273331701745798,0.9281693587860989,0.8930885529157667,0.9125269978401728
DeepGram,-11.17381,2.62221,0.1111111111109734,0.157488986784906,0.9541523902757382,0.9358786098874204,0.9185225974873553,0.9140969162995596,0.8749545619774627,0.8298800436205016
kokoro,-11.13242,2.85862,0.136544555220242,0.1321585903070981,0.9468274209753459,0.9556573150939022,0.9017408609629801,0.915748898678414,0.9421071556993889,0.8349514563106796
