seed,intervention,alpha,energy,measured_C,EER,AUC,Acc
s1,C_scale,3.0,2.0,44.6963996887207,0.11374999999996027,0.9640859375,0.89125
s1,shift_control,3.0,2.0,14.85026741027832,0.2075000000003457,0.8698765625,0.8
s1,C_scale,3.5,2.5,52.17878341674805,0.11624999999999992,0.9581171875000001,0.89125
s1,shift_control,3.5,2.5,14.865427017211914,0.24624999999888025,0.8240375000000001,0.75625
s1,C_scale,4.0,3.0,59.415321350097656,0.11875000000005659,0.9462187499999999,0.884375
s1,shift_control,4.0,3.0,14.926162719726562,0.26499999999999996,0.804371875,0.745625
s3,C_scale,0.5,0.5,7.4628143310546875,0.2837500000000007,0.79631875,0.743125
s3,shift_control,0.5,0.5,14.827445983886719,0.07124999999973977,0.977696875,0.931875
s3,C_scale,0.625,0.375,9.315229415893555,0.11250000000000003,0.952971875,0.8875
s3,shift_control,0.625,0.375,14.859726905822754,0.0699999999999999,0.9816578125000001,0.931875
s3,C_scale,0.75,0.25,11.17241096496582,0.09624999999999974,0.9669437500000001,0.913125
s3,shift_control,0.75,0.25,14.95423698425293,0.07249999999999956,0.9792406250000001,0.93375
s3,C_scale,0.875,0.125,13.016663551330566,0.08749999999889829,0.9723812500000001,0.91625
s3,shift_control,0.875,0.125,14.9013032913208,0.08125000000000003,0.977365625,0.923125
s3,C_scale,1.0,0.0,14.843135833740234,0.09000000000041496,0.9714125,0.913125
s3,shift_control,1.0,0.0,14.883262634277344,0.08874999999989652,0.9748671875000001,0.919375
s3,C_scale,1.125,0.125,16.796981811523438,0.0837500000000074,0.9727609374999999,0.918125
s3,shift_control,1.125,0.125,14.911384582519531,0.08124999999999999,0.976465625,0.9275
s3,C_scale,1.25,0.25,18.64493751525879,0.08249999999999601,0.9747640625,0.92625
s3,shift_control,1.25,0.25,14.933599472045898,0.08000000000140399,0.9786390625,0.92375
s3,C_scale,1.375,0.375,20.506309509277344,0.07750000000000008,0.9756953125,0.9225
s3,shift_control,1.375,0.375,14.871878623962402,0.07375000000046972,0.9809359375,0.930625
s3,C_scale,1.5,0.5,22.40903663635254,0.08250000000043053,0.9743578125000001,0.921875
s3,shift_control,1.5,0.5,14.89730167388916,0.05874999999999492,0.9818890625000001,0.943125
s3,C_scale,1.75,0.75,26.185169219970703,0.08749999999989928,0.9724906249999999,0.9175
s3,shift_control,1.75,0.75,14.912691116333008,0.0725000000001727,0.9802624999999999,0.93625
s3,C_scale,2.0,1.0,29.71562957763672,0.08499999999997947,0.9693312500000001,0.915625
s3,shift_control,2.0,1.0,14.854736328125,0.0800000000000001,0.9750515625,0.921875
s3,C_scale,2.25,1.25,33.42817687988281,0.10124999999999665,0.96581875,0.905
s3,shift_control,2.25,1.25,14.908233642578125,0.08750000000000305,0.9714015625,0.91625
s3,C_scale,2.5,1.5,37.393035888671875,0.1050000000000042,0.959928125,0.896875
