system,intercept,beta_logit,beta_C,beta_T
MeloTTS,0.06624567483761866,1.2497494327278302,0.32651297788060285,-0.40158071670386497
Metavoice-1B,0.054034940555672525,1.2558201459615925,0.45391765896661257,-0.5028337979798785
Microsoft VibeVoice 1.5B,0.05941388197126402,1.2706352369386653,0.3274185474681407,-0.4037321933158698
Microsoft VibeVoice Large,0.059899689923474136,1.2471927174072228,0.31984517607867663,-0.39106212132675705
MiniCPM-o-2.6,0.05415235419659578,1.2595593375400898,0.33907476810101767,-0.3964095991757188
Nari Dia-1.6B,0.06793880262300055,1.2532835386282977,0.32597763085932047,-0.402643486895775
Nari Dia2,0.06298028780042478,1.2628348124649496,0.33891833008460026,-0.41391564196331687
NeuTTS-Air,0.05945889317171027,1.2572377594829143,0.3269907694803319,-0.39717391061327745
OpenVoiceV2,0.05846777310102314,1.2584890395244237,0.3544283601319159,-0.4271438226085451
Openaudio-S1-Mini,0.042769408860090286,1.2791721002485752,0.3130937526492598,-0.4154285753196897
OuteTTS,0.04579647295725485,1.2735588366017148,0.3486035664111466,-0.41925984931351346
Qwen2.5-Omni,0.06354938522892424,1.2613273550586777,0.3194487059240373,-0.387497648178031
RVC,0.060253023939071636,1.2599990061684896,0.3579205036810008,-0.4161487099251844
"Resemble.ai (April 12th, 2025)",0.059090076446107816,1.2514064229440112,0.33030940729558916,-0.3864011342913242
Ringg Squirrel TTS v1.0,0.06684310623091777,1.2428298866501881,0.34159663258818945,-0.4134539230383242
SoulX-Podcast,0.06303108176449877,1.2678610526379106,0.32596603992295975,-0.4054687582427049
Spark-TTS-0.5B,0.04874608631260473,1.3063507589755754,0.29855175200761763,-0.37902330851888644
Step-Audio-EditX,0.0662374776140021,1.254937727715119,0.32856890351962875,-0.4006726647030333
Supertonic,0.06963212607767111,1.2470155134783687,0.32532456466823484,-0.3950734360820045
Veena,0.06563045423024887,1.2423889615145578,0.3437164409178054,-0.4092514093298371
VoxCPM-0.5B,0.04213094828015239,1.285107441873171,0.31449434084174394,-0.40325081724514455
VoxCPM-1.5,0.05548176288849946,1.2791319084076687,0.3323579537672624,-0.40264820280162894
Voxtream,0.053466196538937694,1.2663122801629447,0.3304109653360438,-0.4030329261341377
WhisperSpeech,0.04836473199850386,1.2696820771518949,0.35105156649329405,-0.41207557418667173
