sample_id,label,system_id,cos_pre_encoder,cos_encoder_feat,cos_gat_pre,cos_gat_l0,cos_gat_l1,cos_gat_l2,cos_bilstm
73,1,A04,1.000000,0.977881,0.960645,0.034951,0.024625,-0.008358,-0.033490
74,1,A05,1.000000,0.969990,0.934505,-0.002997,0.019959,-0.008509,-0.056832
75,0,-,1.000000,0.978181,0.960922,0.110179,0.031730,0.025386,0.004268
76,1,A03,1.000000,0.969532,0.949438,0.042168,-0.035245,0.037730,-0.036498
77,1,A02,1.000000,0.962312,0.921283,0.008651,0.035634,0.009891,-0.040180
78,1,A05,1.000000,0.969223,0.921440,-0.029019,0.010675,-0.014659,-0.036145
79,1,A01,1.000000,0.974504,0.957025,0.052701,0.025907,-0.018144,-0.017019
80,1,A05,1.000000,0.981062,0.929091,0.035630,0.024875,-0.000899,-0.003733
81,1,A01,1.000000,0.982628,0.965041,-0.003067,0.012676,0.059835,-0.023805
82,1,A02,1.000000,0.963904,0.938132,0.024929,0.019851,0.038786,-0.024432
83,1,A03,1.000000,0.980333,0.947524,0.048540,-0.006144,0.068378,-0.021917
84,1,A06,1.000000,0.967978,0.913848,0.055911,0.073196,-0.031943,-0.056528
85,1,A06,1.000000,0.963406,0.940135,0.023945,0.000940,0.010131,-0.035735
86,1,A03,1.000000,0.967742,0.955761,0.067511,-0.026502,0.069070,-0.014388
87,0,-,1.000000,0.979142,0.962685,0.005518,-0.000415,-0.004289,-0.031834
88,1,A02,1.000000,0.974695,0.946470,0.030310,0.041077,0.003986,-0.035651
89,1,A06,1.000000,0.984495,0.960311,0.056808,-0.029777,-0.020688,-0.026446
90,1,A05,1.000000,0.959745,0.938622,0.030232,0.035751,0.036561,-0.040495
91,1,A05,1.000000,0.975749,0.957030,0.008764,0.000759,0.020766,-0.029145
92,1,A03,1.000000,0.981829,0.971885,-0.000747,0.008954,0.051911,-0.022041
93,1,A03,1.000000,0.987504,0.971425,0.029824,0.004359,0.061464,-0.016451
94,1,A04,1.000000,0.976947,0.943002,-0.011640,-0.012531,0.050918,-0.030662
95,1,A06,1.000000,0.979842,0.948567,0.010867,0.031675,-0.038369,-0.031787
96,1,A04,1.000000,0.962107,0.951902,-0.023143,0.029760,-0.037702,-0.008627
97,1,A01,1.000000,0.981282,0.955113,0.003412,-0.005872,0.046542,-0.023412
98,0,-,1.000000,0.979503,0.954518,0.020040,0.025931,-0.020575,-0.029419
99,1,A05,1.000000,0.961469,0.914355,0.014059,0.042912,0.001851,-0.060344
100,1,A02,1.000000,0.975791,0.964380,0.040174,0.018715,-0.008230,-0.026582
101,1,A04,1.000000,0.962521,0.937548,0.060550,-0.002736,0.042517,-0.033411
102,1,A04,1.000000,0.974441,0.941646,0.028666,-0.010989,0.037959,-0.026341
103,1,A06,1.000000,0.958157,0.945100,0.005020,0.020163,-0.009676,-0.046187
104,0,-,1.000000,0.981910,0.947126,0.078586,-0.011493,0.019200,-0.022760
105,1,A01,1.000000,0.972539,0.945044,0.043453,-0.005562,0.018565,-0.031149
106,1,A04,1.000000,0.983515,0.964492,0.057533,-0.059746,0.005591,-0.013753
107,1,A02,1.000000,0.987019,0.976374,0.016684,0.048975,-0.028039,-0.038627
108,1,A02,1.000000,0.965659,0.938719,0.066993,-0.007045,-0.003995,-0.035003
109,0,-,1.000000,0.987770,0.953001,0.034627,0.074750,0.028637,0.008203
110,1,A04,1.000000,0.978065,0.963508,0.021413,-0.003862,0.040549,-0.024834
111,1,A03,1.000000,0.979713,0.959603,0.007167,0.004379,0.036771,-0.025366
112,1,A03,1.000000,0.981824,0.970895,-0.002104,0.020254,0.057284,-0.022197
113,1,A02,1.000000,0.981476,0.959161,0.060467,-0.006270,-0.009181,-0.036201
114,1,A04,1.000000,0.973688,0.941770,-0.007057,-0.002332,0.031142,-0.021414
115,1,A02,1.000000,0.980235,0.953639,0.009705,-0.002759,-0.012386,-0.014416
116,1,A02,1.000000,0.976839,0.966125,0.049708,0.013399,-0.017882,-0.051533
117,1,A01,1.000000,0.967692,0.913648,0.023827,0.007239,0.031477,-0.031942
118,1,A01,1.000000,0.988750,0.978976,0.001615,-0.037535,0.057670,-0.023704
119,1,A04,1.000000,0.972511,0.950539,-0.010103,-0.013913,0.013479,-0.026276
120,1,A01,1.000000,0.967545,0.958015,0.029997,0.002797,0.035821,-0.017844
121,1,A06,1.000000,0.975280,0.903903,-0.034263,0.027828,-0.005802,-0.052624
122,1,A04,1.000000,0.980662,0.947355,0.049649,-0.000239,0.016207,-0.024787
123,1,A02,1.000000,0.979927,0.952186,-0.023196,0.045287,-0.045095,-0.024796
124,1,A04,1.000000,0.942744,0.911749,-0.014540,0.039754,0.026334,-0.039326
125,1,A04,1.000000,0.964694,0.943951,0.023860,0.031606,0.030194,-0.007002
126,0,-,1.000000,0.986340,0.964703,0.016795,0.013964,-0.016850,-0.006381
127,1,A01,1.000000,0.980970,0.947386,0.019256,-0.021436,0.075871,-0.029663
128,1,A06,1.000000,0.977621,0.962091,0.030159,0.017935,0.016671,-0.051798
129,1,A03,1.000000,0.979864,0.962034,0.011020,0.008807,0.073939,-0.024581
130,0,-,1.000000,0.993749,0.994375,0.061956,0.041891,-0.031720,-0.017099
131,1,A06,1.000000,0.987047,0.965408,-0.030989,0.013696,-0.035222,-0.031941
132,0,-,1.000000,0.989643,0.948558,0.027469,0.087557,0.008144,0.031855
133,1,A01,1.000000,0.975490,0.954755,0.056130,-0.004504,0.021341,-0.031119
134,1,A04,1.000000,0.981670,0.962108,0.040229,-0.003637,-0.000162,-0.033136
135,1,A04,1.000000,0.950494,0.888268,-0.026865,-0.000240,0.047396,-0.022211
136,1,A03,1.000000,0.979907,0.965555,0.017830,-0.003368,0.009064,-0.013839
137,1,A06,1.000000,0.979929,0.948728,0.058119,-0.015354,-0.047022,-0.040634
138,1,A05,1.000000,0.969170,0.950136,0.005704,0.045518,0.010887,-0.023804
139,1,A06,1.000000,0.979249,0.949648,0.028940,-0.001006,-0.010163,-0.056538
140,1,A02,1.000000,0.981146,0.955952,0.077034,0.041274,0.008097,-0.038314
141,1,A02,1.000000,0.939432,0.837795,0.013071,-0.008721,-0.007228,-0.035577
142,1,A02,1.000000,0.982089,0.959601,0.002718,0.014973,0.035284,-0.007573
143,1,A01,1.000000,0.975917,0.951367,0.047637,0.004652,0.018748,-0.028723
144,1,A04,1.000000,0.973153,0.943439,0.011617,-0.005472,0.020322,-0.033691
145,1,A03,1.000000,0.967371,0.937047,0.039314,-0.003421,0.063372,-0.021992
146,0,-,1.000000,0.980716,0.962159,0.013355,0.077960,0.041420,-0.044114
147,0,-,1.000000,0.981957,0.958989,0.046969,0.031797,0.034565,-0.017657
148,1,A05,1.000000,0.974825,0.960568,0.047837,0.024071,0.034577,-0.042148
149,1,A02,1.000000,0.988926,0.961386,-0.024383,0.040283,0.015526,-0.029650
150,1,A01,1.000000,0.979849,0.956659,0.037152,0.042265,0.018517,-0.028506
151,1,A03,1.000000,0.980167,0.965936,0.012892,-0.034941,0.046249,-0.029983
152,1,A04,1.000000,0.970058,0.956499,0.011909,0.009051,0.030286,-0.024506
153,1,A06,1.000000,0.970904,0.930343,0.019881,0.009229,-0.020702,-0.038930
154,1,A02,1.000000,0.977191,0.955833,0.035582,0.041246,-0.029048,-0.040886
155,1,A02,1.000000,0.945022,0.923416,0.026340,0.055881,0.025124,-0.025978
156,1,A05,1.000000,0.962093,0.927225,-0.017722,0.027583,0.019126,-0.017824
157,1,A02,1.000000,0.984737,0.966236,0.013514,0.044645,-0.049326,-0.007858
158,1,A06,1.000000,0.965587,0.924574,0.014251,-0.016063,-0.043376,-0.038790
159,1,A03,1.000000,0.982704,0.960169,0.033919,0.012740,0.052493,-0.015799
160,1,A04,1.000000,0.969190,0.957340,-0.005767,0.022931,0.029020,-0.010151
161,1,A05,1.000000,0.899648,0.817788,-0.060444,0.057046,0.020947,-0.056117
162,1,A06,1.000000,0.965749,0.935557,-0.025087,-0.032532,-0.007173,-0.057031
163,0,-,1.000000,0.978662,0.964699,0.019725,0.039427,0.011375,-0.011394
164,0,-,1.000000,0.980654,0.956352,-0.008975,-0.001075,-0.020052,-0.024011
