system,n_utts_base,s_along_mean_base,s_along_median_base,sd_along_base,s_orth_base,n_utts_aug,s_along_mean_aug,s_along_median_aug,sd_along_aug,s_orth_aug,delta_s_along_mean,delta_sd_along,layer
A08,10,15.130696058273315,16.871294021606445,7.974250096868041,39.04916915893555,5,19.63605842590332,18.195547103881836,8.180975325701898,32.28315544128418,4.505362367630006,0.20672522883385636,0
A09,11,21.446191440929066,21.785531997680664,5.165378590510936,32.24783013083718,7,9.132146630968366,15.08222770690918,20.13961509034988,66.32101930890765,-12.3140448099607,14.974236499838945,0
A10,10,24.612004280090332,23.38822650909424,3.212655822111329,31.806193923950197,6,9.261526187260946,11.191932678222656,11.653712323377832,55.15011501312256,-15.350478092829386,8.441056501266502,0
A11,9,24.917968538072373,26.348983764648438,3.7194171111719516,45.832969665527344,8,6.910233497619629,16.05309295654297,17.93674664726197,63.03571271896362,-18.007735040452744,14.217329536090018,0
A12,8,22.4579941034317,24.242226600646973,4.799116795594638,29.43476891517639,6,5.535707394282023,4.932239532470703,14.834825131803631,62.12387148539225,-16.922286709149677,10.035708336208994,0
A13,12,30.161709626515705,29.497199058532715,3.724861772966041,34.002346674601235,8,3.4749122858047485,3.674659490585327,8.596937432912412,56.73722553253174,-26.686797340710957,4.872075659946371,0
A14,13,26.274570611807015,24.948226928710938,4.433068702082459,37.0858509357159,11,12.578014460476963,15.017816543579102,12.631929310812762,54.482778549194336,-13.696556151330052,8.198860608730303,0
A15,8,15.215766787528992,15.002798557281494,3.1299332931368946,31.998565673828125,7,9.478762831006732,13.172057151794434,13.276795969915037,50.56117303030832,-5.73700395652226,10.146862676778142,0
A16,14,14.395220347813197,12.7576265335083,5.156713172346533,27.12569522857666,7,9.443906511579241,22.253925323486328,22.388764023896265,60.113129479544504,-4.951313836233956,17.23205085154973,0
A17,19,4.00268826986614,4.2958550453186035,8.852093738235634,26.404129831414473,13,-0.15293369843409613,0.5432988405227661,14.481801578613746,52.66041286175068,-4.1556219683002364,5.629707840378112,0
A18,14,2.9295071022851125,4.173126220703125,9.766745149549392,28.051654406956263,11,6.828976241025058,9.28534984588623,11.362938679043474,46.24964904785156,3.899469138739945,1.5961935294940819,0
A19,11,6.380899450995705,9.341242790222168,12.134115427587595,25.105281136252664,8,6.510796211659908,4.57776403427124,11.143991717110122,49.08837270736694,0.1298967606642032,-0.9901237104774729,0
