encoder,layer,rog_r,rog_p,rog_rho,rog_loo,vent_r,vent_p,vent_rho,vent_loo
HuBERT,2,0.04553632852868008,0.7230543971011564,-0.026017665130568357,-0.08823482992567144,0.2509741501551614,0.04725198354466012,0.24942396313364057,0.012650570323745614
HuBERT,3,0.05354314495736178,0.676843420923404,-0.017329109062980033,-0.0840955756771471,0.14593207778849104,0.25377543396371993,0.13018433179723504,-0.03586688803785831
HuBERT,4,0.12037079564426212,0.34736934886892423,0.10013440860215053,-0.0652708909597488,0.20345979016598226,0.10974244082128576,0.1846678187403994,-0.013640175362647833
HuBERT,5,0.23514295826707254,0.0635791347373094,0.22215821812596004,-0.013509719618407301,0.07817110888116084,0.5425428821893787,0.0913978494623656,-0.0520347274946702
HuBERT,6,0.19563536207597018,0.12439063625953846,0.1310483870967742,-0.04015571308033494,0.11196056139931358,0.3823278187434647,0.15543394777265745,-0.04961304363211605
HuBERT,7,0.20143640503057175,0.11339633918030224,0.10123847926267282,-0.037392901089703834,0.09396739978213568,0.4638446663544496,0.14789746543778803,-0.047310611819464166
HuBERT,8,0.10141096415775537,0.42903275527396634,-0.040994623655913984,-0.08192441448080934,0.11866894079026825,0.3542783049140893,0.16863479262672812,-0.03569919749571038
HuBERT,9,0.08013514961516309,0.5324165426843075,-0.09543010752688172,-0.09267862615878752,0.09146053019243451,0.4759047331457132,0.13748079877112138,-0.04352021591377819
HuBERT,10,0.06433749236752964,0.6164017108521777,-0.1163594470046083,-0.09635968398457706,0.052971645193965876,0.6801051723618855,0.0669162826420891,-0.05455786142541785
HuBERT,11,0.09542005774090094,0.45693291479488474,-0.09062980030721966,-0.08975156825951736,0.07505301831092184,0.5588091676712936,0.12106374807987712,-0.05170329939171747
HuBERT,12,0.17449514609734199,0.171375564194285,0.05553955453149001,-0.03648441658886181,-0.024913742261760963,0.8463192790157806,-0.0027361751152073736,-0.06096470658452802
wav2vec2,0,0.19293182659612762,0.12978341519678327,0.09475806451612903,-0.033998732944207744,0.12313906720077034,0.3363110827392652,0.1730030721966206,-0.04124997406893072
wav2vec2,1,0.11237472117611633,0.38055860966513005,-0.03043394777265745,-0.08216006232911832,0.15066117611888,0.2385449800833943,0.26315284178187404,-0.03737833694002646
wav2vec2,2,0.18900792298768587,0.13792285647062863,0.1341205837173579,-0.03727352091395253,0.14708217513738372,0.2500121106478956,0.14074500768049156,-0.04186555857814267
wav2vec2,3,0.20882934908791745,0.10048552895172862,0.1788114439324117,-0.02570973130112364,0.3286634441933976,0.008539885025055692,0.32469278033794163,0.048599545599365634
wav2vec2,4,0.27327737739322816,0.030229510347258768,0.3008352534562212,0.0014866339468261325,0.21542068493539795,0.08996542911554735,0.1609543010752688,-0.020261801952679237
wav2vec2,5,0.2649670574617039,0.03584631355193381,0.2700652841781874,0.0042925465095648985,0.24731705776085164,0.05067952451305329,0.222542242703533,-0.002799591051797279
wav2vec2,6,0.3254617002625283,0.009245930488572139,0.2796658986175115,0.04680590918182137,0.23855105118420802,0.05972672917817931,0.19849270353302612,-0.006379915326657715
wav2vec2,7,0.30732222403806314,0.01428331717293074,0.2549443164362519,0.03714471310941325,0.27540551607222397,0.02891616523564569,0.25081605222734255,0.01162582036480675
wav2vec2,8,0.34584583651692336,0.0054976436229206916,0.27131336405529954,0.07305883614812603,0.2207636824456873,0.08208912110743777,0.167386712749616,-0.017886858389838833
wav2vec2,9,0.2835476657445712,0.024324913581318462,0.2700172811059908,0.021931973633145585,0.0942121911733169,0.4626759858828313,0.12187980030721968,-0.07340918291523924
wav2vec2,10,0.07143152111010749,0.5779866311070405,0.0953821044546851,-0.05970751639111427,0.11999083600495535,0.34890456161563443,0.10781490015360984,-0.06843004431231936
wav2vec2,11,-0.0921859902246698,0.47239754948634544,-0.06254800307219661,-0.055392467536493406,0.12400728861323637,0.33288886412872154,0.07488479262672812,-0.05501800235163268
wav2vec2,12,-0.15561113056657386,0.22328989651686373,-0.13844086021505378,-0.03789529826772031,0.13850147929596285,0.279014833196542,0.12327188940092168,-0.041734102686273866
