speaker,mean_C,mean_T,n_spoof,n_bona,eer_mlaad_robust_goat,eer_robust_goat,within_eer_mlaad_robust_goat,within_eer_robust_goat
Christopher Hitchens,-10.745493339167702,2.748973890875874,144,118,0.43750000000001305,0.18733333333320001,0.3644067796616497,0.24576271186406057
Ronald Reagan,-10.699474097377035,2.7637927261340374,221,110,0.43333333333224877,0.2513333333320606,0.45454545454526096,0.26696832579185525
Dwight Eisenhower,-10.57771566935948,2.746388499632798,14,33,0.4285714285717078,0.25933333333200287,0.4285714285717078,0.4285714285717078
Louis C.K.,-10.838567953843336,2.7153127560794226,13,3,0.423000000000313,0.15384615384615521,,
Donald Trump,-10.262064512385878,2.6823954530058653,43,471,0.41860465116279394,0.35700000000150733,0.4288747346076463,0.32558139534849667
Adam Driver,-10.717420541323149,2.7120782595285937,26,12,0.41299999999955206,0.4230769230769232,0.42307692307698835,0.3846153846153846
Louis Farrakhan,-10.793501329421996,2.748454978118526,20,46,0.4046666666675704,0.20000000000031073,0.4130434782606661,0.19999999999999993
Queen Elizabeth II,-10.65090519316653,2.7223393996296847,94,20,0.3999999999995292,0.3085106382978723,0.40000000000172975,0.34999999999957654
Mark Zuckerberg,-10.713207029527233,2.7651146113265654,62,49,0.39100000000059765,0.294666666667016,0.36734693877694735,0.2580645161290362
Alec Guinness,-10.791196036868625,2.700291154844506,450,312,0.3519999999988876,0.25633333333359654,0.3955555555557289,0.2888888888888887
Ayn Rand,-10.825947133757227,2.7042679677460377,278,206,0.34892086330935257,0.5223333333345583,0.4757281553388156,0.49640287769784325
John Cleese,-10.961077630519867,2.7287757303660536,16,5,0.34766666666565144,0.23166666666541103,0.43749999999984296,0.39999999999905483
Boris Johnson,-10.7198151633853,2.763692908559269,21,35,0.33333333333333365,0.18933333333286684,0.33333333333333315,0.04761904761879291
Milton Friedman,-10.87119647860527,2.7376704702533003,64,40,0.3266666666664411,0.17187499999997163,0.29687499999999994,0.14999999999895633
Harry Truman,-10.729094505310059,2.756039005885384,5,7,0.32099999999866646,0.06600000000020387,0.28571428571428575,0.14285714285854367
The Notorious B.I.G.,-10.405003011226654,2.697999929623183,80,2,0.3125,0.19366666666818158,,
FDR,-10.694244589124407,2.725088530812729,42,38,0.309523809523801,0.23809523809523817,0.3333333333333334,0.4523809523809824
Mitch Hedberg,-10.672615323747907,2.794397568897906,7,1,0.2963333333345536,0.14285714285704518,,
Tucker Carlson,-10.901719932556153,2.7566620356867126,25,4,0.2873333333336409,0.26833333333278614,,
George Carlin,-10.870294050736861,2.765714512869695,22,17,0.27700000000034997,0.14566666666674655,0.2941176470590198,0.1176470588243558
Norm MacDonald,-10.736499829725785,2.752847532265049,22,12,0.2727272727272746,0.22727272727272735,0.5833333333327994,0.4166666666662882
Bill Burr,-10.887025919827549,2.76378875524379,11,17,0.27272727272726877,0.1818181818181818,0.27272727272735553,0.18181818181818174
Alexandria Ocasio-Cortez,-10.791990995407104,2.717551067040941,20,36,0.2500000000000666,0.4499999999999974,0.25000000000000006,0.38888888888754897
2Pac,-10.845469522476197,2.689937232060606,20,10,0.2500000000000666,0.06933333333347014,0.40000000000000013,0.10000000000034326
Gilbert Gottfried,-10.909453415870667,2.6907571007324154,40,13,0.22499999999999984,0.25733333333413494,0.30769230769155537,0.275
Kanye West,-10.869536275449006,2.7242908521574734,23,8,0.21739130434783138,0.1420000000005331,0.21739130434782603,0.08695652173900979
