winner,rho_discovery,rho_confirm,p_confirm
sd_along,0.6582869855394883,0.5076612903225807,0.0035537708271211024
sd_along,0.5924360400444939,0.5088709677419355,0.0034625944638663627
sd_along,0.5906562847608453,0.6266129032258065,0.00016230985155176912
sd_along,0.7058954393770857,0.4588709677419355,0.009418214705819605
sd_along,0.5590656284760844,0.5814516129032258,0.0006024016032662373
sd_along,0.7432703003337041,0.5383064516129034,0.0017851838622681602
sd_along,0.5879866518353727,0.533467741935484,0.0019987540485259417
sd_along,0.7708565072302558,0.42701612903225805,0.016583144047176
sd_along,0.5083426028921022,0.6423387096774195,9.786587010590443e-05
sd_along,0.6378197997775306,0.5717741935483871,0.0007786748080537085
rog_L0,0.4602892102335928,0.4116935483870968,0.021384400048134706
sd_along,0.44827586206896547,0.7391129032258066,2.044642955985308e-06
sd_along,0.5181312569521691,0.6290322580645162,0.0001504251520684225
sd_along,0.5519466073414906,0.6149193548387099,0.00023235948378030446
sd_along,0.7290322580645161,0.49354838709677423,0.004779970398075464
sd_along,0.7388209121245829,0.4326612903225807,0.0150573150714796
sd_along,0.6458286985539488,0.5185483870967742,0.0028029406724288286
sd_along,0.56440489432703,0.5826612903225807,0.000583052410572352
sd_along,0.6538375973303671,0.4794354838709678,0.006351978644921556
sd_along,0.7419354838709676,0.39798387096774196,0.026600869753074144
sd_along,0.5911012235817574,0.5161290322580646,0.0029567259704205064
sd_along,0.6698553948832036,0.517741935483871,0.0028534156721904207
sd_along,0.5737486095661846,0.5750000000000001,0.000715454214655684
sd_along,0.5986651835372636,0.5544354838709679,0.0012098181112603359
sd_along,0.6823136818687431,0.5862903225806452,0.0005282487305093542
sd_along,0.6088987764182424,0.5564516129032259,0.001150799473509473
sd_along,0.6685205784204672,0.49758064516129036,0.004397352827599969
sd_along,0.593325917686318,0.4911290322580646,0.005022956533796517
sd_along,0.4638487208008899,0.6358870967741936,0.00012084618906177042
sd_along,0.5403781979977753,0.6709677419354839,3.610170537934059e-05
sd_along,0.6320355951056729,0.5661290322580645,0.000901180115435121
sd_along,0.6400444938820912,0.540725806451613,0.0016860516447434143
top1_frac_L12,0.6943270300333704,0.07983870967741936,0.6694241531619162
sd_along,0.531924360400445,0.6153225806451614,0.0002295566866386782
top1_frac_L9,0.589321468298109,0.1733870967741936,0.3509238624248171
sd_along,0.45272525027808674,0.7068548387096775,8.792560993510406e-06
rog_L0,0.49543937708565067,0.3685483870967742,0.04133927979879279
sd_along,0.49410456062291436,0.6415322580645162,0.00010050686565943552
sd_along,0.6480533926585095,0.5508064516129032,0.0013227414579442252
sd_along,0.6729699666295884,0.4790322580645162,0.006402691620522424
sd_along,0.5781979977753059,0.5548387096774194,0.001197807178009531
dist_bona_centroid_L9,0.6235817575083425,0.2584677419354839,0.1603374230892852
sd_along,0.6137931034482759,0.5479838709677419,0.0014168286589648696
sd_along,0.7187986651835372,0.5108870967741936,0.0033151092491751012
rog_L0,0.6347052280311457,0.25000000000000006,0.17497390386838463
rog_L0,0.5986651835372636,0.21330645161290326,0.24925735106855243
sd_along,0.7624026696329255,0.37459677419354837,0.037871945756536955
rog_L0,0.4473859844271412,0.4294354838709678,0.015914182950657794
sd_along,0.657842046718576,0.4955645161290323,0.004585241636179438
sd_along,0.44783092324805335,0.6467741935483872,8.44173422004109e-05
sd_along,0.5372636262513905,0.6060483870967743,0.0003022180976760291
sd_along,0.49766407119021133,0.6653225806451614,4.43159539126028e-05
vel_entropy_L12,0.5612903225806452,0.055645161290322584,0.7662239346637291
sd_along,0.7441601779755282,0.34959677419354845,0.05387879761022681
sd_along,0.6102335928809789,0.5568548387096774,0.001139302761069697
sd_along,0.6409343715239153,0.5209677419354839,0.002656117688769655
vel_entropy_L9,0.49855394883203563,0.2588709677419355,0.15966303012682567
sd_along,0.5902113459399333,0.6032258064516131,0.0003280500098890114
sd_along,0.7739710789766406,0.4225806451612903,0.01787030276521233
twonn_id_L9,0.5630700778642936,0.19193548387096776,0.300952493306611
part_ratio_L9,0.4958843159065628,0.36733870967741944,0.04206236997903893
sd_along,0.5399332591768632,0.6233870967741936,0.00017945345385461065
sd_along,0.5016685205784205,0.6971774193548388,1.3126325533015808e-05
sd_along,0.567964404894327,0.6141129032258065,0.00023805636972397957
sd_along,0.6698553948832036,0.5447580645161291,0.0015314591592821055
sd_along,0.6057842046718577,0.6213709677419356,0.00019096877224171404
sd_along,0.6151279199110122,0.5318548387096774,0.002074711823545391
sd_along,0.6378197997775306,0.49435483870967745,0.0047012453469172585
sd_along,0.681868743047831,0.515725806451613,0.002983052591137402
sd_along,0.45272525027808674,0.7338709677419355,2.6281248438127704e-06
sd_along,0.5550611790878754,0.656451612903226,6.0641230802020824e-05
sd_along,0.5951056729699666,0.5770161290322582,0.0006782737721880305
sd_along,0.7446051167964404,0.44193548387096776,0.01280532762876042
sd_along,0.4562847608453838,0.5778225806451613,0.0006638842610966035
sd_along,0.6885428253615128,0.4504032258064517,0.011002561746831625
rog_L0,0.6008898776418242,0.2717741935483871,0.1391422136321092
