system,label,rms,s_along,s_orth,logit,vel_entropy_L12,vel_entropy_L9,mu_norm_L12,rog_L12,vel_mean_L12,vel_mean_L0,rog_L0,sd_along,hard_main,hard_s42,hard_s1024,hard_shared
Kani-TTS-370M|en,1.0,0.036311958,4.048766613006592,25.53327751159668,5.956233024597168,2.763317104901938,2.761644575615508,4.0934343338012695,10.81432819366455,6.847036361694336,4.820430278778076,5.33078145980835,2.5469226657354964,0.2262715258309973,0.2776331597917501,0.25680816980376453,0.2535709518088373
Kitten-TTS-Nano-0.1|en,1.0,0.11150654,7.2981178760528564,23.806020736694336,8.81888484954834,2.7629948820632126,2.7474637857866275,4.138568878173828,10.959823608398438,6.982728719711304,4.84873366355896,5.357071161270142,2.4593625057155677,0.01140654499685334,0.005899937067337935,0.01974512271869089,0.012350534927627388
Kitten-TTS-Nano-0.2|en,1.0,0.12742683,9.46077013015747,25.567255973815918,8.333087921142578,2.7891839166625636,2.746827233327457,4.15523886680603,10.819292068481445,6.765200614929199,4.5265281200408936,5.376959800720215,2.1515856861556655,0.025055066079295085,0.028427863436123246,0.03200715859030834,0.028496696035242224
Kyutai-TTS|en,1.0,0.06850021,6.27286434173584,25.168941497802734,6.951196670532227,2.7975263085446214,2.7310965001724057,4.160313129425049,10.970519065856934,6.937681674957275,4.878413677215576,5.332221984863281,2.3173186697808887,0.0506607929515418,0.0573266867609552,0.09529329932761432,0.06776025968003711
Llasa-1B-Multilingual|en,1.0,0.060111396,8.577775478363037,27.22980308532715,6.466936111450195,2.7990022829720353,2.8453561188321506,4.412012815475464,10.653716087341309,6.442375421524048,4.473513603210449,5.240552186965942,3.7653034882278007,0.0798458149779735,0.12114537444933915,0.12382984581497791,0.10827367841409685
Llasa-8B|en,1.0,0.04003838,3.992802858352661,27.19132423400879,5.015259265899658,2.803257229165764,2.776962948425904,4.454021692276001,10.802917003631592,6.516784906387329,4.719151735305786,5.266031742095947,7.298357309931798,0.225342633382281,0.33596426823299075,0.21206558981889378,0.2577908304780552
Mars5|en,1.0,0.036733218,5.766439437866211,33.23646926879883,4.1028151512146,2.7914801041456943,2.7502823266094003,4.379060983657837,10.853416442871094,6.778490304946899,4.591375827789307,5.281801462173462,4.27680257251295,0.26555616740088106,0.37596365638766516,0.20732378854625555,0.2829478707782673
MatchaTTS|en,1.0,0.07537335,7.707346439361572,25.085806846618652,5.83971095085144,2.7464285117714153,2.7154317622369466,4.091122627258301,10.84089994430542,7.632430791854858,5.139173269271851,5.389113187789917,2.1401435526188846,0.10099118942731267,0.1295154185022026,0.08028634361233489,0.10359765051395005
Maya1 TTS|en,1.0,0.111935414,7.201733112335205,25.82393455505371,7.918268203735352,2.770981420138285,2.7970933357115912,4.1770734786987305,10.646034240722656,6.638201713562012,4.670499324798584,5.426055908203125,2.747249297068475,0.13896087069188912,0.17640580461259392,0.07514900233221056,0.13017189254556452
MegaTTS3|en,1.0,0.10612486,6.951037406921387,28.811077117919922,6.077074289321899,2.7812411228732365,2.801940570883046,4.1647069454193115,10.91494083404541,6.498026609420776,4.649951696395874,5.372789621353149,3.526994739588562,0.15261170547514158,0.15457835116425422,0.13868785399622396,0.14862597021187327
MeloTTS|en,1.0,0.06452465,10.538789749145508,23.149293899536133,6.967914581298828,2.783486909095129,2.784746625454672,4.0939106941223145,10.83964729309082,7.458120822906494,5.140658855438232,5.428372859954834,2.0937291690481072,0.0763300576075907,0.07616062351745168,0.10157573703829215,0.08468880605444484
Metavoice-1B|en,1.0,0.16811922,8.718847274780273,24.50152587890625,5.127619743347168,2.817737784597227,2.780551612884536,3.7564914226531987,11.020973682403564,7.412847518920898,5.443966627120972,5.51500678062439,2.176168375891159,0.17817809943360607,0.21987098804279426,0.25196664568911264,0.216671911055171
