system,group,observed_eer,residual,phoneme_var_mean,frame_mean_dist_mean,knn_entropy_norm,mutual_nn_rate,neighbor_switch_rate,cosine_rank_vol,knn_density,intrinsic_dim,var_entropy_mean,max_entropy_mean,mean_gini_mean,edge_density_mean,condition_number_log,cosine_sim_entropy,eigenvalue_decay_exp,sv_entropy,effective_rank,pca_var1,per_utt_cosine_mean,per_utt_cosine_std,cosine_centroid,cosine_attention_ratio,utt_cos_x_entropy
optispeech,mid,0.14244,-0.04746,0.44708,17.78467,0.98169,0.62857,0.00159,0.00241,0.16227,8.45888,0.18779,2.25400,0.44068,0.22688,2.38692,1.62251,2.01263,1.17313,3.23210,0.70309,0.10811,0.03552,0.07192,15.44477,0.18052
Cartesia.ai (Sonic-3),mid,0.15939,-0.04897,0.46710,16.38426,0.98594,0.83636,0.00000,0.00213,0.10529,7.42799,0.20350,2.27877,0.44477,0.21861,1.40599,1.11136,1.28189,1.95392,7.05627,0.30608,0.09024,0.02865,0.03025,18.99525,0.15468
sesame_csm,mid,0.27118,-0.05440,0.34541,15.74004,0.97359,0.73846,0.01368,0.00111,0.08122,8.52054,0.18284,2.27165,0.42679,0.23093,1.77914,2.03524,1.51680,1.89778,6.67109,0.40138,0.13601,0.06481,0.03824,12.84161,0.23756
Ringg Squirrel TTS v1.0,easy,0.12555,-0.05489,0.45405,18.32384,0.98670,0.80000,0.01852,0.00138,0.11905,10.68222,0.16690,2.27405,0.43805,0.18317,2.08781,1.67392,1.46531,2.19163,8.94979,0.34711,0.09709,0.01883,0.03387,18.20900,0.17165
DeepGram,easy,0.13194,-0.05850,0.45162,16.74966,0.95980,0.84444,0.00000,0.00282,0.10052,5.87114,0.19166,2.27455,0.44501,0.20570,1.33888,0.89466,1.31017,1.76119,5.81934,0.36085,0.08932,0.02708,0.02778,19.36196,0.15447
minimax_speech-2.6-hd,mid,0.19319,-0.06055,0.40964,16.40182,0.98424,0.56667,0.02407,0.00273,0.11241,8.86841,0.18708,2.27548,0.42726,0.23281,1.68906,1.58975,1.38659,1.92066,6.82545,0.37280,0.09683,0.03523,0.03893,17.91689,0.16799
parler_tts_large_v1,mid,0.13792,-0.06410,0.43586,19.30925,0.98939,0.74286,0.00000,0.00160,0.10887,15.59476,0.16339,2.27995,0.42539,0.17268,1.49470,1.63309,1.29982,2.13189,8.43076,0.26908,0.09634,0.01800,0.03724,18.65218,0.17312
MegaTTS3,mid,0.20489,-0.07452,0.42300,15.56281,0.96039,0.62857,0.00476,0.00167,0.09916,4.66701,0.17668,2.27627,0.40531,0.23968,1.58561,1.81845,1.35569,2.16415,8.70722,0.25175,0.11639,0.03610,0.04160,15.35789,0.20805
Kyutai-TTS,mid,0.20235,-0.08308,0.41456,16.49918,0.98947,0.80000,0.02339,0.00148,0.09647,12.04280,0.17785,2.26112,0.44699,0.21753,1.69933,1.57416,1.37512,2.43002,11.35916,0.21093,0.09605,0.02369,0.02316,17.93755,0.16549
parler_tts_mini_v0.1,mid,0.12950,-0.08386,0.44149,18.32986,0.98896,0.65882,0.03529,0.00127,0.11059,12.40324,0.17957,2.27318,0.42769,0.19362,1.90809,1.84144,1.51160,2.19459,8.97629,0.29019,0.09302,0.02605,0.03159,19.01248,0.16451
suno_bark-small,mid,0.24243,-0.08531,0.34924,14.57749,0.98139,0.71429,0.01111,0.00110,0.07816,9.87520,0.17561,2.15922,0.38512,0.29155,2.02409,2.28067,1.62557,1.81519,6.14224,0.46760,0.14399,0.07670,0.03231,11.49600,0.23835
facebook_mms-tts-eng,easy,0.13800,-0.08630,0.42177,19.21700,0.98974,0.62222,0.02099,0.00196,0.17734,13.52226,0.17834,2.27036,0.44674,0.19640,1.81605,1.17382,1.67583,2.18587,8.89843,0.24200,0.08949,0.02252,0.06321,19.46553,0.15589
MatchaTTS,mid,0.16996,-0.08723,0.41862,18.19304,0.94421,0.68000,0.00000,0.00078,0.10860,5.58406,0.17901,2.27371,0.42920,0.20025,1.57105,1.21102,1.44602,1.80253,6.06498,0.35244,0.09463,0.02078,0.04154,18.57605,0.16635
suno_bark,mid,0.24642,-0.08789,0.35744,14.21986,0.97355,0.74286,0.00159,0.00099,0.08192,13.14411,0.17641,2.15792,0.39740,0.28455,1.95692,2.35537,1.62854,1.82908,6.22813,0.44325,0.13936,0.08516,0.02769,11.80481,0.22927
