system,C,T,smooth_eer,baseline_eer,smooth_auc,baseline_auc,smooth_bal_acc,baseline_bal_acc,smooth_acc,baseline_acc
MegaTTS3,-10.87811,2.81748,0.21428571428568943,0.3571428571428213,0.8901038388923852,0.7709251101321586,0.8548615481434865,0.736784140969163,0.9219088937093276,0.4815618221258134
MeloTTS,-11.02763,2.75371,0.2224669603519737,0.2307692307692276,0.8458149779735683,0.912741443578448,0.8118434429007116,0.8639867841409692,0.7785016286644951,0.7318132464712269
Metavoice-1B,-11.26542,2.78059,0.2857142857142857,0.2857142857140903,0.7783983637507866,0.776431718061674,0.7403241032095658,0.7857929515418502,0.6963123644251626,0.5780911062906724
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.46255506607932007,0.3846153846153616,0.6084378176889189,0.646645205015249,0.6373263300576075,0.6546933242968485,0.9576547231270358,0.7676438653637351
Microsoft VibeVoice Large,-11.20791,2.80826,0.29411764705882126,0.2352941176470588,0.7583570873283234,0.8701736201088366,0.7336745270795543,0.8268657683337652,0.7037837837837838,0.7167567567567568
MiniCPM-o-2.6,-10.42072,2.73015,0.33480176211422324,0.3303964757709247,0.7317731277533039,0.7543502202643172,0.701431718061674,0.7407488986784141,0.5592672413793104,0.8275862068965517
Nari Dia-1.6B,-11.2362,2.78417,0.27272727272726766,0.2290748898677189,0.8387064477372848,0.8932719263115739,0.76947336804165,0.8367040448538245,0.8106637649619152,0.766050054406964
Nari Dia2,-11.16706,2.70401,0.30286343612416533,0.2819383259912535,0.7284741690028034,0.7294753704445334,0.736183420104125,0.722667200640769,0.6561479869423286,0.7181719260065288
NeuTTS-Air,-11.09782,2.80331,0.37499999999999994,0.25,0.6530837004405285,0.7926762114537446,0.661068281938326,0.7773953744493391,0.6958874458874459,0.7435064935064936
OpenVoiceV2,-11.36205,2.6472,0.29185022026512786,0.2621145374449449,0.7548458149779737,0.7904552129221734,0.7480176211453744,0.768942731277533,0.6977248104008668,0.7388949079089924
Openaudio-S1-Mini,-10.82325,2.85961,0.4625550660789848,0.3999999999999531,0.5177092511013216,0.6790748898678415,0.5637665198237886,0.6518722466960352,0.5294748124330118,0.7009646302250804
OuteTTS,-10.98285,2.79802,0.4090909090910057,0.3931718061669267,0.6232478974769724,0.6662995594713657,0.6654985983179815,0.6472266720064077,0.7365591397849462,0.5709677419354838
Qwen2.5-Omni,-11.10027,2.65093,0.3171806167415781,0.280837004404946,0.7282095657646319,0.7711611076148521,0.70303650094399,0.7686438011327879,0.7613882863340564,0.9598698481561824
RVC,-11.10697,2.72935,0.23017621145480754,0.2857142857142856,0.8225298930144745,0.7556639395846445,0.7777690371302706,0.7376494650723726,0.7700650759219089,0.7603036876355749
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.14867841409665827,0.2777777777775597,0.9285364659813999,0.8188325991189427,0.8701052373959863,0.7565467449828683,0.8520518358531317,0.896328293736501
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.16666666666666666,0.0881057268712717,0.9226627508565834,0.9727116984826236,0.8624571708272148,0.9281693587860989,0.9438444924406048,0.9125269978401728
SoulX-Podcast,-10.93597,2.76337,0.3755506607926693,0.3333333333333337,0.6208700440528634,0.6994309838472834,0.6617107195301029,0.7523861967694567,0.7380434782608696,0.8358695652173913
Spark-TTS-0.5B,-10.85044,2.8038,0.6249999999999998,0.625,0.274022577092511,0.3876651982378855,0.5,0.5272577092511013,0.9826839826839827,0.9155844155844156
Step-Audio-EditX,-11.19811,2.72185,0.45454545454545453,0.2015418502210192,0.6794152983580297,0.841309571485783,0.6639467360832999,0.808319983980777,0.8683351468988031,0.7986942328618063
Supertonic,-11.13805,2.78536,0.171806167400201,0.125,0.9198788546255507,0.969920154185022,0.8613711453744494,0.9204295154185024,0.7878787878787878,0.9642857142857144
Veena,-11.30142,2.76771,0.06277533039699926,0.105726872245475,0.9734306167400881,0.9620732378854624,0.9377753303964758,0.9454845814977972,0.8777056277056277,0.8928571428571429
VoxCPM-0.5B,-10.66426,2.74095,0.43061674008763084,0.4140969162984599,0.5499904232905574,0.6096533231181767,0.6088871863627657,0.6245929898486879,0.6917293233082706,0.7636949516648764
VoxCPM-1.5,-11.05028,2.80275,0.49669603524158246,0.4779735682815185,0.4972466960352423,0.5553807426054123,0.5578193832599119,0.6141441157960982,0.613882863340564,0.8633405639913232
Voxtream,-10.93791,2.77738,0.4074889867846415,0.3270925110123337,0.6112946647087616,0.7098017621145374,0.6251835535976504,0.6975648556045031,0.5853131749460043,0.673866090712743
