system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.40752090914950295,-0.006576007148956953,0.6096533231181767,0.6072112622103045,-0.0024420609078721345,5.586413841540683e-05,-0.1238811313999284,True,False
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.09760972426146487,-0.004813183225843828,0.9626162506118452,0.95001223690651,-0.012604013705335149,0.0036710719530104186,0.007199424046076319,True,False
NeuTTS-Air,-11.09782,2.80331,0.25,0.24788913362684362,-0.0021108663731563837,0.7926762114537446,0.8011196769456682,0.008443465491923652,0.00926945668135104,-0.02200577200577203,True,True
Kyutai-TTS,-11.10458,2.69058,0.1541850220255072,0.15358605765522065,-0.0005989643702865588,0.9363552051936008,0.9405093129299017,0.004154107736300872,-0.03027668289666907,0.024811218985976158,True,True
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.6250000000000492,4.9182879990894435e-14,0.3876651982378855,0.3302129221732745,-0.05745227606461095,-0.01684104258443453,-0.5761183261183261,False,False
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.1447626040140325,0.0026921194330120912,0.9449339207048458,0.9157488986784141,-0.029185022026431695,-0.037873225648556,-0.020423048869438465,False,False
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.2857142857142803,0.0048772813093342915,0.7711611076148521,0.7767988252569751,0.0056377176421229525,-0.014972729179777544,-0.12183658712942891,False,False
RVC,-11.10697,2.72935,0.2857142857142856,0.29274176631011467,0.007027480595829083,0.7556639395846445,0.8016834487098805,0.046019509125236,0.021161107614852015,-0.07375271149674634,False,False
kokoro,-11.13242,2.85862,0.1321585903070981,0.139713269959195,0.007554679652096913,0.9556573150939022,0.9337854548264936,-0.021871860267408616,-0.03486552283793187,0.015821646889608076,False,False
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.2577092511017916,0.007709251101644998,0.8198421439060205,0.7948176700930004,-0.025024473813020087,-0.008504650024473759,-0.04384057971014488,False,False
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.0625,0.07030102790043234,0.007801027900432342,0.973430616740088,0.9779965124816444,0.004565895741556414,0.0087187958883993,-0.02308802308802327,False,False
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.4861023704639981,0.008128802182479633,0.5553807426054123,0.4986889028739248,-0.05669183973148745,-0.02207887560310473,0.07194504699927706,False,False
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.22341095028321814,0.008653241031066239,0.8414096916299559,0.8646161107614853,0.02320641913152932,-0.015602055800293724,-0.030730296456977668,False,False
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0881057268712717,0.0996084189918965,0.011502692120624797,0.9727116984826236,0.9487885462555065,-0.02392315222711716,-0.008627019089574195,-0.016918646508279234,False,False
OuteTTS,-10.98285,2.79802,0.3931718061669267,0.4049192364164958,0.01174743024956909,0.6662995594713657,0.6543685756240822,-0.011930983847283416,-0.008593645708183217,0.026523297491039433,False,False
microsoft_speecht5_tts,-11.04778,2.79557,0.2500000000002551,0.26321585903162115,0.013215859031366073,0.7678964757709251,0.7584128732256487,-0.00948360254527647,0.009850709740577668,-0.08876811594202916,False,False
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.19143560507878252,0.014965016843601103,0.8826768592899714,0.8770406841150558,-0.0056361751749156586,-0.03164679968903861,-0.043243243243243246,False,False
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.17639500734221025,0.018906020558229764,0.92903359030837,0.8830075256975037,-0.046026064610866224,-0.04552129221732748,-0.009018759018759037,False,False
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0495594713653781,0.07142857142872928,0.021869100063351188,0.9904027690371304,0.9804384308789595,-0.009964338158170882,-0.021973987833018627,0.002892263195951039,False,False
SoulX-Podcast,-10.93597,2.76337,0.3333333333333337,0.35523739598671566,0.02190406265338196,0.6994309838472834,0.6912628487518355,-0.008168135095447893,-0.025942241801272803,0.0028985507246376274,False,False
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.2512014417303832,0.022126551862664323,0.8932719263115739,0.8369042851421705,-0.056367641169403404,-0.046706047256708016,-0.12187159956474425,False,False
griffin_lim,-10.82422,2.8566,0.4,0.42222222222222244,0.02222222222222242,0.6585168869309839,0.5799069995105237,-0.07860988742046016,-0.02969897209985317,-0.18743228602383533,False,False
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.2296459455051315,0.023698808941574223,0.8947626040137053,0.8298254201337901,-0.0649371838799152,-0.04085087289933109,0.06434023991275906,False,False
parler_tts_large_v1,-10.88228,2.72001,0.1046255506613693,0.1301132787920443,0.025487728130674986,0.953508495909377,0.939663310258024,-0.013845185651353065,-0.048353262009649844,-0.002892263195950928,False,False
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.357268722465981,0.026872246695056334,0.7543502202643172,0.7423274596182085,-0.012022760646108743,-0.03612334801762118,-0.03879310344827591,False,False
f5-tts,-10.75229,2.70689,0.3898678414094841,0.4229722726093768,0.0331044311998927,0.6410987302409951,0.6420057009587977,0.0009069707178026576,0.010959229506780632,-0.14846846846846862,False,False
Metavoice-1B,-11.26542,2.78059,0.2857142857140903,0.3248898678412056,0.039175582127115305,0.776431718061674,0.7239091671911057,-0.05252255087056834,-0.05283721418082654,-0.08098336948662332,False,False
vixTTS,-11.27667,2.78681,0.2257709251091819,0.2708333333333333,0.04506240822415142,0.8531112334801761,0.8069245594713657,-0.04618667400881049,-0.06520741556534493,-0.14826839826839833,False,False
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0909090909090912,0.1382659191025631,0.04735682819347191,0.947436924309171,0.9287812041116007,-0.018655720197570336,-0.015051395007342316,-0.02974247370330052,False,False
parler_tts_mini_v0.1,-10.93578,2.702,0.1057268722460944,0.153170078604501,0.0474432063584066,0.9282845296708992,0.9077913103567418,-0.020493219314157485,-0.04181782845296711,-0.044324324324324316,False,False
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.6500244738131374,0.05002447381313779,0.3758443465491923,0.34329417523250116,-0.032550171316691134,0.0035487028879098714,0.7594799566630553,False,False
Llasa-8B,-11.13795,2.7481,0.2621145374438587,0.31481481481480905,0.052700277370950344,0.7773494860499266,0.7781652798172621,0.0008157937673355375,-0.03544623919073264,0.05507559395248374,False,False
Mars5,-11.32011,2.84054,0.4374999999999708,0.49118942731235493,0.05368942731238413,0.5824614537444934,0.5843887665198239,0.0019273127753304253,0.008948237885462507,0.07792207792207789,False,False
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.25780937124521425,0.05626752102419505,0.841309571485783,0.8259578160459218,-0.015351755439861225,-0.034658256574556234,-0.18679724338048598,False,False
optispeech,-11.08127,2.75023,0.0737885462561879,0.13048038598723968,0.05669183973105178,0.9431246066708622,0.9174271029997901,-0.02569750367107204,-0.03298720369204955,-0.018799710773680367,False,False
Nari Dia2,-11.16706,2.70401,0.2819383259912535,0.3387064477375062,0.056768121746252675,0.7294753704445334,0.7089507408890668,-0.020524629555466523,-0.013766519823788514,-0.027203482045701777,False,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.30952380952387387,0.058422487939199574,0.8059314033983637,0.7676473673169708,-0.03828403608139286,-0.02425529683238914,0.09074475777295721,False,False
Kani-TTS-370M,-11.07769,2.78509,0.2202643171806545,0.2837738619676724,0.0635095447870179,0.8433119743692431,0.776364971298892,-0.06694700307035106,-0.03323988786543852,-0.006528835690968515,False,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.15755573354695881,0.06664664263786801,0.9535442531037244,0.9142637832065145,-0.0392804698972099,-0.047089841142704536,-0.06347479143997103,False,False
Voxtream,-10.93791,2.77738,0.3270925110123337,0.4009218469564346,0.0738293359441009,0.7098017621145374,0.6605074237232827,-0.04929433839125463,-0.03130608582150429,-0.0791936645068394,False,False
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.1622613803226376,0.08076358296434649,0.9693989930774072,0.9310362911684497,-0.03836270190895752,-0.07134990560100707,-0.09436008676789598,False,False
Higgs-Audio-V2,-11.109,2.80124,0.4347826086956909,0.5217391304347826,0.08695652173909169,0.6046734342080062,0.5189938070612271,-0.08567962714677912,-0.02850667177424493,0.06838524883637664,False,False
Chatterbox,-11.13056,2.82544,0.285714285714382,0.3809523809524739,0.0952380952380919,0.7168030207677785,0.6287497377805747,-0.08805328298720372,-0.04061778896580659,0.03543022415039765,False,False
MatchaTTS,-11.11983,2.76045,0.1000000000000026,0.2071218795893047,0.1071218795893021,0.9284140969162996,0.8896475770925111,-0.03876651982378854,-0.060132158590308404,-0.053740014524328306,False,False
ZipVoice,-10.86822,2.80332,0.3469162995605787,0.4597405775817979,0.11282427802121925,0.6422540381791483,0.5668441018110623,-0.07540993636808602,-0.03212187958883994,-0.06340579710144933,False,False
FishTTS,-11.17461,2.7008,0.2666666666666666,0.3865149290260777,0.1198482623594111,0.8086637298091043,0.7468428781204112,-0.06182085168869311,-0.060817425354870336,-0.22715781870711438,False,False
