system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
MiniCPM-o-2.6,-10.42072,2.73015,0.357268722465981,0.3303964757709247,0.7423274596182085,0.7543502202643172,0.7046255506607929,0.7407488986784141,0.7887931034482758,0.8275862068965517
MegaTTS3,-10.87811,2.81748,0.2813614432556562,0.3571428571428213,0.8145059786028949,0.7709251101321586,0.7611967694566814,0.736784140969163,0.6912509038322487,0.4815618221258134
e2-tts,-10.92617,2.76124,0.3392988252572233,0.3711453744483705,0.6797448604992659,0.7031938325991189,0.6794236417033774,0.6925936123348018,0.6515151515151515,0.5768398268398268
suno_bark,-10.55239,2.80122,0.30952380952387387,0.2511013215846743,0.7676473673169708,0.8059314033983637,0.7430511852318021,0.7673064820641913,0.8402024584237164,0.7494577006507592
RVC,-11.10697,2.72935,0.29274176631011467,0.2857142857142856,0.8016834487098805,0.7556639395846445,0.7588105726872246,0.7376494650723726,0.6865509761388285,0.7603036876355749
Qwen2.5-Omni,-11.10027,2.65093,0.2857142857142803,0.280837004404946,0.7767988252569751,0.7711611076148521,0.7536710719530103,0.7686438011327879,0.8380332610267535,0.9598698481561824
Llasa-8B,-11.13795,2.7481,0.31481481481480905,0.2621145374438587,0.7781652798172621,0.7773494860499266,0.7223853809756893,0.7578316201664219,0.7937365010799136,0.7386609071274298
sesame_csm,-10.80728,2.79118,0.25968598215324534,0.2830396475764219,0.8015644414322828,0.800152490681125,0.7676917429120073,0.7699932226363944,0.7661961635903004,0.6959826275787188
minimax_speech-2.6-hd,-11.40033,2.69219,0.2577092511017916,0.2500000000001466,0.7948176700930004,0.8198421439060205,0.8105115026921195,0.8190161527165932,0.9235507246376812,0.967391304347826
vixTTS,-11.27667,2.78681,0.2708333333333333,0.2257709251091819,0.8069245594713657,0.8531112334801761,0.7583058002936859,0.8235132158590308,0.6255411255411255,0.7738095238095238
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2311143742862473,0.2777777777775597,0.8480176211453744,0.8188325991189427,0.8103075542502856,0.7565467449828683,0.8059755219582434,0.896328293736501
MeloTTS,-11.02763,2.75371,0.1999039873488241,0.2307692307692276,0.8817067660679996,0.912741443578448,0.8277278888512368,0.8639867841409692,0.7350705754614549,0.7318132464712269
Step-Audio-EditX,-11.19811,2.72185,0.25780937124521425,0.2015418502210192,0.8259578160459218,0.841309571485783,0.7736617274062207,0.808319983980777,0.6118969894813203,0.7986942328618063
Edge-TTS,-10.92675,2.75393,0.2296459455051315,0.2059471365635573,0.8298254201337901,0.8947626040137053,0.8176293033121227,0.8584801762114538,0.7840785169029444,0.7197382769901853
Maya1 TTS,-10.7007,2.72062,0.19143560507878252,0.1764705882351814,0.8770406841150558,0.8826768592899714,0.8316597564135786,0.8633065561026172,0.8583783783783784,0.9016216216216216
suno_bark-small,-10.97017,2.74983,0.22341095028321814,0.2147577092521519,0.8646161107614853,0.8414096916299559,0.8225823368995174,0.8381843926998112,0.7198120028922631,0.7505422993492408
Nari Dia-1.6B,-11.2362,2.78417,0.2512014417303832,0.2290748898677189,0.8369042851421705,0.8932719263115739,0.7899979975971165,0.8367040448538245,0.6441784548422198,0.766050054406964
OpenVoiceV2,-11.36205,2.6472,0.21387665198245742,0.2621145374449449,0.8446891825746451,0.7904552129221734,0.8027288301517377,0.768942731277533,0.7623690863127482,0.7388949079089924
microsoft_speecht5_tts,-11.04778,2.79557,0.26321585903162115,0.2500000000002551,0.7584128732256487,0.7678964757709251,0.77141458639256,0.7615638766519823,0.6840579710144926,0.7728260869565218
Kani-TTS-370M,-11.07769,2.78509,0.2837738619676724,0.2202643171806545,0.776364971298892,0.8433119743692431,0.7703744493392071,0.8036143372046456,0.8715995647442872,0.8781284004352558
parler_tts_mini_v1,-11.02714,2.73203,0.1447626040140325,0.1420704845810204,0.9157488986784141,0.9449339207048458,0.891091532060695,0.928964757709251,0.8384390955506928,0.8588621444201313
MatchaTTS,-11.11983,2.76045,0.2071218795893047,0.1000000000000026,0.8896475770925111,0.9284140969162996,0.842511013215859,0.9026431718061674,0.8514887436456063,0.9052287581699346
NeuTTS-Air,-11.09782,2.80331,0.24788913362684362,0.25,0.8011196769456682,0.7926762114537446,0.7866648311306902,0.7773953744493391,0.7215007215007215,0.7435064935064936
Llasa-1B-Multilingual,-11.06328,2.67872,0.17639500734221025,0.1574889867839805,0.8830075256975037,0.92903359030837,0.837325624082232,0.8828469162995595,0.8210678210678211,0.8300865800865801
Indri-TTS-0.1,-11.05397,2.73531,0.1622613803226376,0.0814977973582911,0.9310362911684497,0.9693989930774072,0.8840465701699182,0.9553964757709252,0.8177874186550976,0.9121475054229936
minimax_speech-02-turbo,-11.02915,2.74086,0.1507475637430176,0.1818181818181817,0.9193699105593378,0.932819383259912,0.8894673608329996,0.8534741690028034,0.8998911860718172,0.8879216539717084
Marvis-TTS,-11.07228,2.7861,0.12591776798798787,0.2000000000003107,0.9545521292217328,0.9240088105726872,0.9370411160058736,0.873568281938326,0.8747718145308507,0.9463307776560788
