Model,Metric,Axis,n,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,r2,loo_r2,r2_ci_lo,r2_ci_hi
MLAAD_GOAT,Accuracy,C,63,-0.2872417902141216,0.022454526336860365,-0.5484097103349329,0.0634684399810659,-0.17228302611367127,0.17695463364361913,-0.4290809189840219,0.10127163809916956,,,,
MLAAD_GOAT,Accuracy,T,63,-0.062376661059831195,0.6272093562387175,-0.27108113481602253,0.1410665630857587,-0.14237711213517665,0.26565018234886195,-0.38162145693873845,0.11342712529202573,,,,
MLAAD_GOAT,Accuracy,C+T,63,,,,,,,,,0.08339006688504569,-0.013690296116910972,0.006888373931255823,0.31180789478409765
MLAAD_robust_GOAT,EER,C,63,0.41736359039357906,0.0006662111908722982,0.18756665538027947,0.5866426085434122,0.38701934661271686,0.0017276960066837876,0.16680831203929794,0.565522281931177,,,,
MLAAD_robust_GOAT,EER,T,63,0.2750571193867598,0.029127834187778687,0.04388344320408776,0.47869299513103913,0.2887523405948266,0.021725618193719057,0.031791503774532215,0.5013159611744545,,,,
MLAAD_robust_GOAT,EER,C+T,63,,,,,,,,,0.2265420144192335,0.15839226220214486,0.07643403558707906,0.4189329912707758
MLAAD_robust_GOAT,AUC,C,63,-0.4061899865236761,0.0009561560310413673,-0.5992167877278113,-0.1580603592479932,-0.3862327188940093,0.001768839365697855,-0.5680267141841081,-0.16078143136805018,,,,
MLAAD_robust_GOAT,AUC,T,63,-0.27182779750792774,0.03115241654395915,-0.46312984126447265,-0.053665819148391504,-0.32085253456221197,0.010351330180831326,-0.5228470141596103,-0.07452612292109793,,,,
MLAAD_robust_GOAT,AUC,C+T,63,,,,,,,,,0.2164452608451577,0.1490158084790466,0.06652519358214308,0.4201541485627977
MLAAD_robust_GOAT,Accuracy,C,63,-0.32512580127487833,0.00932286614695801,-0.6299700036475769,0.08534726836785807,-0.10599078341013825,0.408372128428133,-0.35403166773967076,0.15449103443075374,,,,
MLAAD_robust_GOAT,Accuracy,T,63,-0.17297769372855168,0.17518862144791122,-0.39191007448610815,0.053734993385708606,-0.17876344086021506,0.16097562371456167,-0.4130630110527735,0.07391350020953534,,,,
MLAAD_robust_GOAT,Accuracy,C+T,63,,,,,,,,,0.12438568525115734,-0.06285262910912093,0.007935470130039392,0.4154249943528215
