system,C,T,raw_eer,raw_auc,raw_bal_acc,cal_wavlm_eer,cal_wavlm_auc,cal_wavlm_bal_acc,cal_ensemble_eer,cal_ensemble_auc,cal_ensemble_bal_acc
NeuTTS-Air,-11.09782,2.80331,0.25,0.7926762114537446,0.7773953744493391,0.4375,0.5487334801762115,0.6512940528634361,0.45264317180714153,0.5379267621145375,0.6347742290748899
OpenVoiceV2,-11.36205,2.6472,0.26211453744494495,0.7904552129221734,0.768942731277533,0.4779735682830723,0.5080763582966226,0.5957415565345081,0.4666666666666667,0.5245961820851689,0.6214023494860499
Openaudio-S1-Mini,-10.82325,2.85961,0.39999999999995317,0.6790748898678415,0.6518722466960352,0.52,0.46154185022026434,0.5884801762114538,0.5506607929506633,0.45013215859030836,0.5732599118942732
OuteTTS,-10.98285,2.79802,0.39317180616692676,0.6662995594713657,0.6472266720064077,0.5517621145389319,0.453293952743292,0.5834000800961153,0.546255506608894,0.4580997196635963,0.5870044052863436
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.7711611076148521,0.7686438011327879,0.4285714285717078,0.5963656387665198,0.639474512271869,0.4285714285717078,0.5833071113908118,0.6235053492762743
RVC,-11.10697,2.72935,0.28571428571428564,0.7556639395846445,0.7376494650723726,0.5,0.5211611076148521,0.6224826935179358,0.4581497797362266,0.5394115796098174,0.6161894273127754
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.8188325991189427,0.7565467449828683,0.43392070484558964,0.5940406265296133,0.6547968673519334,0.4295154185009232,0.5895741556534508,0.6492290748898678
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.08810572687127173,0.9727116984826236,0.9281693587860989,0.30947136563828315,0.7249143416544297,0.765724424865394,0.28744493392129006,0.7395986294664709,0.7607684777288302
SoulX-Podcast,-10.93597,2.76337,0.33333333333333376,0.6994309838472834,0.7523861967694567,0.43502202643269094,0.5220264317180616,0.6037077826725403,0.4372246696039064,0.5091776798825257,0.5886563876651982
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.3876651982378855,0.5272577092511013,0.6255506607936374,0.3213105726872247,0.5534140969162995,0.6250000000000014,0.3058920704845815,0.5429515418502202
