system,group,observed_eer,residual,dist_to_ctr_mean,avg_pairwise_dist,cov_trace,effective_rank,knn_density,intrinsic_dim,phoneme_var_mean_x,frame_mean_dist_mean_x
RVC,mid,0.3038,0.0244,8.9904,13.2492,91.4732,8.6792,0.0933,11.1716,0.4093,16.0041
Microsoft VibeVoice Large,mid,0.2235,0.0267,7.9637,11.4181,68.4442,7.2362,0.1269,9.5669,0.4517,16.5517
NeuTTS-Air,mid,0.3276,0.0314,7.9123,11.5471,69.4494,8.5241,0.1110,9.9131,0.4113,15.6032
Kani-TTS-370M,mid,0.3312,0.0366,8.7336,12.8377,85.4769,6.3664,0.0998,6.6461,0.4001,16.6901
Voxtream,mid,0.3157,0.0391,8.7306,12.6736,84.3649,8.8517,0.1076,7.9530,0.3669,15.4798
Chatterbox,mid,0.3585,0.0408,7.6105,11.1452,65.3040,7.5728,0.1199,6.6924,0.3954,16.7430
Marvis-TTS,mid,0.1781,0.0447,4.1117,6.5248,21.8522,3.5820,0.1641,18.8538,0.4899,19.2582
griffin_lim,hard,0.3752,0.0604,7.3587,10.6980,58.8611,8.7963,0.1207,8.6858,0.3559,16.5163
Llasa-8B,mid,0.3093,0.0624,9.7033,14.2477,108.5548,8.7456,0.0950,8.4202,0.4353,14.8473
Openaudio-S1-Mini,mid,0.3649,0.0629,8.8763,12.7630,85.6077,10.3695,0.1161,10.7179,0.3933,16.8684
f5-tts,mid,0.3516,0.0805,7.6465,11.0780,65.2209,7.5347,0.1282,5.7289,0.3951,18.2405
SoulX-Podcast,mid,0.3320,0.0995,8.2183,11.9964,75.4552,6.0859,0.1106,9.5204,0.4229,16.9205
e2-tts,mid,0.3669,0.1015,8.0316,11.7057,71.1425,9.0874,0.1102,10.5186,0.3731,17.1934
VoxCPM-0.5B,mid,0.3962,0.1072,9.3652,13.4735,94.2657,10.7351,0.1070,6.5854,0.4028,16.6819
Higgs-Audio-V2,hard,0.4393,0.1127,9.3339,13.3935,92.6433,10.8907,0.1055,8.2037,0.4044,15.2571
Metavoice-1B,mid,0.3025,0.1229,7.7904,11.7103,83.6195,5.6937,0.1152,10.3246,0.4212,18.0349
Index-TTS-2.0,mid,0.3948,0.1466,7.4759,10.9726,64.5496,8.0311,0.1238,7.7661,0.4165,17.2202
ZipVoice,hard,0.4383,0.1482,7.7293,11.5225,72.3877,5.8216,0.1131,4.9935,0.4192,13.4641
OuteTTS,hard,0.4164,0.1534,8.8100,12.5501,82.6499,8.1253,0.1223,9.0488,0.4199,15.8020
Microsoft VibeVoice 1.5B,mid,0.3600,0.1663,7.7079,11.3005,67.8081,6.6037,0.1188,6.6579,0.4400,17.0164
Spark-TTS-0.5B,hard,0.5155,0.1831,8.6033,12.5011,83.5011,7.0701,0.1160,5.3434,0.3779,15.4988
FireRedTTS-2.0,hard,0.5276,0.1948,8.5886,12.5183,82.0481,8.0411,0.1099,6.6985,0.3929,15.2230
VoxCPM-1.5,hard,0.5054,0.2077,9.2835,13.5963,95.5213,8.2331,0.0923,8.7119,0.3990,16.1584
Index-TTS-1.5,hard,0.5538,0.2095,8.0404,11.7136,71.5249,7.8505,0.1142,9.3549,0.3839,15.3639
