system,s_along,sd_along,s_orth,vel_entropy_L12,rog_L12,hard_mlaad_gat,hard_aasist_zeroshot,hard_aasist_ft
OpenVoiceV2|en,6.623371124267578,3.3179400935639456,23.538034439086918,2.791077321115468,11.034777641296388,0.1451786588350464,0.2726872246696035,0.107856093979442
Openaudio-S1-Mini|en,6.533298015594482,3.163658718602323,23.275671005249023,2.803405562165689,10.719888687133787,0.2656975036710719,0.2511453744493392,0.1645374449339207
OuteTTS|en,3.9834178686141968,4.001196649186861,25.23643493652344,2.79676371873489,10.67365026473999,0.3021292217327459,0.4028834601521825,0.0640268321986383
Qwen2.5-Omni|en,8.545698165893555,1.6613572089182704,24.652485847473145,2.820429027952482,10.878288269042969,0.1782567652611706,0.4007237256135934,0.0662366268093139
RVC|en,6.496351480484009,2.7668319248410755,25.76065444946289,2.784574641795225,10.83198595046997,0.1567547723935388,0.092825676526117,0.047120830711139
"Resemble.ai (April 12th, 2025)|en",6.201828002929688,3.282454684315289,31.78605461120605,2.8184244640138165,10.648710250854492,0.127508565834557,0.3576235927557513,0.0517009300048947
Ringg Squirrel TTS v1.0|en,7.210122585296631,2.4153761853874163,25.62936019897461,2.738933511454073,10.98802137374878,0.042156142927068,0.1779246206558982,0.0145007342143905
SoulX-Podcast|en,6.275095701217651,3.850306776352627,23.61434841156006,2.7962178174488863,10.740859031677246,0.2512236906510035,0.3816079295154185,0.1605176211453745
Spark-TTS-0.5B|en,7.612765789031982,2.5515336459187608,27.057275772094727,2.831119110392764,10.76162052154541,0.6005185389133626,0.3963381057268722,0.3712830396475771
Step-Audio-EditX|en,6.092774868011475,2.0067054455169,23.72048759460449,2.789838566749976,10.793718338012695,0.1599252436256841,0.2540048057669203,0.0581698037645174
Supertonic|en,5.638656854629517,2.442316080543696,24.21181011199951,2.7890320684581997,10.84162139892578,0.0296668502202643,0.3752064977973568,0.0420567180616739
Veena|en,8.715733528137207,1.1289811976183672,24.70944595336914,2.8402646516680985,10.955581188201904,0.0279919236417033,0.2844162995594713,0.0622246696035242
VoxCPM-0.5B|en,6.903702259063721,4.048892442768293,25.368690490722656,2.813403785997036,10.71312141418457,0.36849581817021,0.2482761923003256,0.1299080635893507
VoxCPM-1.5|en,5.962121486663818,5.137057896727151,27.22974681854248,2.7839692126349496,10.714728355407717,0.4433868260960771,0.2990874764002518,0.2493706733794839
Voxtream|en,6.419244766235352,3.18654802491226,25.27266788482666,2.827177803526414,10.812796115875244,0.231093979441997,0.4487273617229563,0.1112946647087615
WhisperSpeech|en,6.628611564636231,3.370243520620229,24.26854705810547,2.775809684560912,10.857751846313477,0.2627351234179428,0.4572057898049088,0.1296412838263059
ZipVoice|en,5.874902486801148,4.144980982054404,28.22160530090332,2.8406933430336228,10.671852111816406,0.4390907978463045,0.4530102790014684,0.0457966226138031
e2-tts|en,7.291589021682739,2.724092606280444,25.13148593902588,2.7773238630327794,10.643442153930664,0.2820989353891336,0.0695897577092511,0.0114950440528633
f5-tts|en,6.95991325378418,2.7808204786510915,24.889596939086918,2.8188721763300424,10.699174880981444,0.2749416947395698,0.1054029541331951,0.0298652500647835
