system_id,head,top3_sparsity,top5_sparsity,peak_src,peak_tgt,peak_magnitude,attn_variance,mean_entropy
optispeech,4,0.6246,0.7455,Other,Other,0.298,0.001999,1.2944
orpheus-tts-0.1-finetune,2,0.6144,0.7161,Other,Other,0.3042,0.001871,1.3051
orpheus-tts-0.1-finetune,4,0.5908,0.6889,Other,Other,0.2905,0.001723,1.356
parler_tts_large_v1,2,0.603,0.7237,Other,Other,0.2936,0.00185,1.4354
parler_tts_large_v1,4,0.5929,0.7111,Other,Other,0.285,0.001784,1.4612
parler_tts_mini_v0.1,2,0.6283,0.734,Other,Other,0.3031,0.001974,1.3705
parler_tts_mini_v0.1,4,0.6044,0.7073,Other,Other,0.287,0.001831,1.4014
parler_tts_mini_v1,2,0.6072,0.7124,Other,Other,0.3123,0.001887,1.4855
parler_tts_mini_v1,4,0.5798,0.6842,Other,Other,0.2977,0.001723,1.5362
sesame_csm,2,0.6377,0.7404,Other,Other,0.3117,0.001965,1.3946
sesame_csm,4,0.6263,0.729,Other,Other,0.3034,0.001901,1.4603
suno_bark,2,0.5757,0.6772,Other,Other,0.282,0.001699,1.3437
suno_bark,4,0.5744,0.6769,Other,Other,0.2782,0.001677,1.3715
suno_bark-small,2,0.6675,0.7581,Other,Other,0.3347,0.002237,1.3728
suno_bark-small,4,0.6369,0.7376,Other,Other,0.3144,0.002038,1.4386
vixTTS,2,0.5955,0.7055,Other,Other,0.2787,0.001743,1.4299
vixTTS,4,0.5809,0.6908,Other,Other,0.2676,0.001657,1.4729
