system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A06,x,ɔ̃,0.018476804646421954,0.01675163131594484,-0.0017251733304771144,0.0017251733304771144
A04,oː,ɛɪ,0.0003875886711220919,0.0021123424306089995,0.0017247537594869077,0.0017247537594869077
A02,k,ŋ,0.012988395263429962,0.014711050149271706,0.0017226548858417443,0.0017226548858417443
A03,ɹ,ɔː,0.02146723677916997,0.0231898838854919,0.0017226471063219312,0.0017226471063219312
A02,ɔ̃,p,0.012657617774072375,0.014379617399603738,0.001721999625531363,0.001721999625531363
A04,œ,øː,0.0019269104721193863,0.00020760388499492974,-0.0017193065871244566,0.0017193065871244566
A02,ŋ,ʊ,0.021041751055716856,0.019324391050376248,-0.0017173600053406075,0.0017173600053406075
A02,ɑ,ɑ,0.0,0.0017164093119073857,0.0017164093119073857,0.0017164093119073857
A05,p,p,0.006960788504152563,0.0052455110936012374,-0.0017152774105513259,0.0017152774105513259
A02,m,ɐ,0.01577812316556881,0.017490818709895443,0.0017126955443266326,0.0017126955443266326
A02,œ,ɔ̃,0.002904360005707146,0.004616035907217193,0.001711675901510047,0.001711675901510047
A05,ɛ̃,p,0.006595919239213089,0.008305634608689648,0.0017097153694765593,0.0017097153694765593
A05,tʃ,oː,0.0017083220899414852,0.0,-0.0017083220899414852,0.0017083220899414852
A04,oː,tʲ,0.0,0.0017037896823845881,0.0017037896823845881,0.0017037896823845881
A03,ʊ,|,0.010726414949768408,0.012429961628021595,0.0017035466782531865,0.0017035466782531865
A03,ʑ,ɡ,0.0012469611765022273,0.002948686684201268,0.0017017255076990406,0.0017017255076990406
A02,ɡ,tʃ,0.016768007049790243,0.01506634816172941,-0.0017016588880608332,0.0017016588880608332
A03,ɛː,|,0.0145639463475313,0.01626548463614252,0.0017015382886112207,0.0017015382886112207
A01,l,tʲ,0.023015126866259634,0.02131364771562352,-0.0017014791506361135,0.0017014791506361135
A02,ɔø,iː,0.06546397198759767,0.0637639764623494,-0.0016999955252482712,0.0016999955252482712
A06,eɪ,aʊ,0.0020276009057252262,0.003725245651503051,0.0016976447457778248,0.0016976447457778248
A05,ɛː,ɡ,0.00012367750210883537,0.0018203950601276247,0.0016967175580187893,0.0016967175580187893
A02,tʲ,ɔø,0.01285641986318144,0.014548721727012695,0.001692301863831255,0.001692301863831255
A03,ɹ,tʃ,0.008831989917252,0.010523844370704262,0.0016918544534522614,0.0016918544534522614
A06,eə,œ̃,0.01543389321179445,0.017122642442322027,0.001688749230527576,0.001688749230527576
A03,k,ʊ,0.012655940812975058,0.010968974132609024,-0.0016869666803660342,0.0016869666803660342
A03,ɛ̃,aː,0.004761843373882729,0.006444749065286559,0.0016829056914038302,0.0016829056914038302
A05,ʊ,aɪ,0.008812424980814368,0.010492728112160092,0.0016803031313457235,0.0016803031313457235
A02,θ,f,0.00023659461300703632,0.0019152648654692725,0.0016786702524622362,0.0016786702524622362
A05,p,eə,0.009965629060043543,0.011642634988127537,0.0016770059280839938,0.0016770059280839938
A01,tʃ,øː,0.014079183694087343,0.01240218006487121,-0.0016770036292161339,0.0016770036292161339
A04,k,k,0.001766212382387873,0.0034426272059154633,0.0016764148235275903,0.0016764148235275903
A01,t,z,0.0018253108973401283,0.0001553548006152864,-0.001669956096724842,0.001669956096724842
A01,vʲ,n,0.024797428633278086,0.0231276125537105,-0.0016698160795675862,0.0016698160795675862
A03,ɑ,œ̃,0.00043134353185676826,0.0020996997434171967,0.0016683562115604284,0.0016683562115604284
A03,ɡ,vʲ,0.009945869607324182,0.01161303612420725,0.0016671665168830688,0.0016671665168830688
A06,ɡ,ɛɪ,0.017381535633994027,0.015717131009225938,-0.0016644046247680892,0.0016644046247680892
A06,k,eə,0.009441647208952306,0.007780078514186301,-0.0016615686947660047,0.0016615686947660047
A04,j,øː,0.0016615026960847348,0.0,-0.0016615026960847348,0.0016615026960847348
A05,eə,ɾ,0.013415184660282695,0.011753927803281463,-0.001661256857001232,0.001661256857001232
A06,ʊ,ɔː,0.011670449682766508,0.01333169258652337,0.001661242903756863,0.001661242903756863
A02,ʊ,ʑ,0.011103924431254504,0.0094441872239994,-0.0016597372072551034,0.0016597372072551034
A02,aɪ,ɾ,0.0018704992863101033,0.003529284026441454,0.001658784740131351,0.001658784740131351
A03,e,eə,0.007343621202782573,0.009002075065301193,0.0016584538625186206,0.0016584538625186206
A04,ɹ,ɹ,0.001657234909697646,0.0,-0.001657234909697646,0.001657234909697646
A05,ɹ,ɹ,0.001657234909697646,0.0,-0.001657234909697646,0.001657234909697646
A05,œ,i,0.0016536962705722194,0.0,-0.0016536962705722194,0.0016536962705722194
A02,u,œ,0.0016533471184897346,0.0,-0.0016533471184897346,0.0016533471184897346
A05,u,œ,0.0016533471184897346,0.0,-0.0016533471184897346,0.0016533471184897346
A06,u,œ,0.0016533471184897346,0.0,-0.0016533471184897346,0.0016533471184897346
A06,aɪə,y,0.011631249884112365,0.013282281210371548,0.0016510313262591836,0.0016510313262591836
A06,eə,fʲ,0.01109717042813559,0.009449400914955629,-0.0016477695131799606,0.0016477695131799606
A05,ɛ̃,oː,0.0026982220868905994,0.00434275649040147,0.0016445344035108706,0.0016445344035108706
A02,k,œ̃,0.012402310466730493,0.010759519358673354,-0.001642791108057139,0.001642791108057139
A01,ɛ̃,ɛɪ,0.01839765135435926,0.016755116472831903,-0.001642534881527359,0.001642534881527359
A05,i,aɪə,0.0017279122620764966,8.811433681014912e-05,-0.0016397979252663476,0.0016397979252663476
A01,ɛ̃,k,0.014838388317454449,0.013198706562015213,-0.001639681755439236,0.001639681755439236
A01,ɔø,|,0.017592291428564416,0.019228839359555515,0.0016365479309910988,0.0016365479309910988
A06,aɪ,1,0.011562911234293751,0.013196472992852452,0.0016335617585587006,0.0016335617585587006
A05,k,l,0.012114165304431875,0.010480621399744696,-0.0016335439046871788,0.0016335439046871788
A03,θ,p,0.00993157123882706,0.00830034581166969,-0.0016312254271573703,0.0016312254271573703
A04,z,l,0.031436573690739746,0.03306564961462181,0.0016290759238820618,0.0016290759238820618
A02,vʲ,oː,0.008817977828859791,0.010446374374298354,0.001628396545438563,0.001628396545438563
A06,ʊ,ɛː,0.013910017309480724,0.015536854052325222,0.0016268367428444973,0.0016268367428444973
A01,ɡ,|,0.014677332288589365,0.016303385290259754,0.0016260530016703884,0.0016260530016703884
A06,iː,ʊ,0.021549211335599637,0.01992329536550958,-0.0016259159700900555,0.0016259159700900555
A03,f,x,0.028014687086686824,0.026391624893070023,-0.0016230621936168012,0.0016230621936168012
A03,œ,tʃ,0.005966117385758317,0.007587765373392564,0.0016216479876342473,0.0016216479876342473
A05,y,ɐ,0.005213394625074641,0.0035921480047893983,-0.0016212466202852427,0.0016212466202852427
A01,aɪ,θ,0.008870768134088,0.010490783721052421,0.0016200155869644205,0.0016200155869644205
A03,ɔː,ɔː,0.0003407922543294451,0.0019607970610200035,0.0016200048066905585,0.0016200048066905585
A03,p,œ,0.011764993860235029,0.010151152305024022,-0.001613841555211007,0.001613841555211007
A05,ʊ,d,0.01980493605942295,0.021413406545621183,0.0016084704861982317,0.0016084704861982317
A03,eɪ,ɡ,0.0,0.0016079243761232343,0.0016079243761232343,0.0016079243761232343
A01,øː,aː,0.0016070896690579776,0.0,-0.0016070896690579776,0.0016070896690579776
A06,øː,aː,0.0016070896690579776,0.0,-0.0016070896690579776,0.0016070896690579776
A03,|,ə,0.02258746962209093,0.024189806983813122,0.0016023373617221927,0.0016023373617221927
A02,aɪə,iː,0.029435333202863786,0.0278343880609069,-0.0016009451419568867,0.0016009451419568867
A04,tʃ,ɔø,0.01641776917470683,0.014818830448888765,-0.0015989387258180665,0.0015989387258180665
A05,ɛ̃,ɛ,0.012691357711527042,0.01109352400303707,-0.0015978337084899732,0.0015978337084899732
A06,t,ʑ,0.020311551888517992,0.01871422707883571,-0.0015973248096822837,0.0015973248096822837
A03,ʑ,1,0.02197582543072565,0.023572493978314336,0.0015966685475886852,0.0015966685475886852
A01,ɛː,ɲ,0.0015962890538447872,0.0,-0.0015962890538447872,0.0015962890538447872
A06,ɛː,ɲ,0.0015962890538447872,0.0,-0.0015962890538447872,0.0015962890538447872
A03,t,t,0.0009691764241310703,0.0025649302901275778,0.0015957538659965075,0.0015957538659965075
A04,eɪ,ʑ,0.0015951535997319733,0.0,-0.0015951535997319733,0.0015951535997319733
A03,œ,|,0.007503903565646513,0.009097902536964093,0.0015939989713175794,0.0015939989713175794
A03,ɛ,i,0.023632216000446595,0.022038989933321162,-0.0015932260671254334,0.0015932260671254334
A02,1,ɑ,0.0034213344357232884,0.0018287564136036214,-0.001592578022119667,0.001592578022119667
A03,ʃ,ɔ̃,0.0,0.0015905482805467764,0.0015905482805467764,0.0015905482805467764
A03,k,|,0.010428796787542827,0.008842347084435672,-0.0015864497031071543,0.0015864497031071543
A03,k,θ,0.008865201912249099,0.007278775906236763,-0.0015864260060123358,0.0015864260060123358
A05,x,ɑ,0.07188743972690566,0.07347341611008418,0.0015859763831785195,0.0015859763831785195
A06,œ̃,ɔː,0.05391376117677254,0.055499007178625735,0.0015852460018531966,0.0015852460018531966
A03,m,|,0.027351693885517392,0.028936211734620267,0.0015845178491028754,0.0015845178491028754
A02,ɲ,ŋ,0.0,0.0015837921519407702,0.0015837921519407702,0.0015837921519407702
A04,ɐ,iː,0.009729687106753595,0.01131347390045571,0.0015837867937021147,0.0015837867937021147
A01,m,ɛ,0.028566817118391503,0.026983111862443954,-0.001583705255947549,0.001583705255947549
A03,i,i,1.0715868769566359e-05,0.0015939655977420442,0.0015832497289724778,0.0015832497289724778
A05,ʊ,ɛɪ,0.011346281537250775,0.00976846681570562,-0.0015778147215451555,0.0015778147215451555
A06,ɐ,aɪ,0.010033992772853217,0.011609966718393672,0.0015759739455404546,0.0015759739455404546
A04,t,ɔː,0.008550070238761028,0.010125128526579874,0.0015750582878188459,0.0015750582878188459
A06,ɔø,ɛ̃,0.0063650384143375165,0.004792912146326785,-0.0015721262680107317,0.0015721262680107317
A01,œ,ɛ,0.008896159326520587,0.007324556988348441,-0.0015716023381721466,0.0015716023381721466
A03,ɔø,|,0.017592291428564416,0.016020744639051055,-0.001571546789513361,0.001571546789513361
A05,aɪ,j,0.02879072534444967,0.03036164293771757,0.0015709175932679016,0.0015709175932679016
A06,ɛ,ɔø,0.020398058363495886,0.0188293039738308,-0.001568754389665087,0.001568754389665087
A03,p,ɔ̃,0.01598142502040794,0.014413209366451843,-0.0015682156539560971,0.0015682156539560971
A03,aɪ,eə,0.012202012494248776,0.010634045918089417,-0.0015679665761593586,0.0015679665761593586
A03,iə,aɪ,0.009778296912492981,0.008211715658687184,-0.0015665812538057967,0.0015665812538057967
A02,ɔː,l,0.010353673382726254,0.00878954911143929,-0.0015641242712869634,0.0015641242712869634
A01,ʃ,x,0.000873590251755009,0.0024364540668756996,0.0015628638151206906,0.0015628638151206906
